,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2252100.0,304.70099999999996,877.0319999999999,3663.07,95.6114,4641.26,0.0027414536036320936
1,2251970.0,307.414,887.1560000000001,3750.19,96.2889,4739.19,0.0027990192583683404
2,2251840.0,310.353,897.183,3838.31,96.9742,4838.04,0.0028565849131046983
3,2251710.0,313.454,907.182,3927.42,97.6672,4937.85,0.002914150567840945
4,2251570.0,316.673,917.197,4017.52,98.3679,5038.67,0.0029761443498645956
5,2251430.0,319.981,927.257,4108.61,99.0763,5140.54,0.003038138131888246
6,2251300.0,323.36,937.3839999999999,4200.69,99.7924,5243.47,0.003095703786624493
7,2251160.0,326.797,947.5889999999999,4293.78,100.516,5347.5,0.0031576975686481434
8,2251020.0,330.285,957.882,4387.88,101.24799999999999,5452.64,0.003219691350671794
9,2250870.0,333.819,968.2689999999999,4483.01,101.988,5558.9,0.003286113259982848
10,2250730.0,337.395,978.755,4579.16,102.736,5666.3,0.0033481070420064984
11,2250580.0,341.01099999999997,989.3430000000001,4676.35,103.492,5774.85,0.0034145289513176635
12,2250440.0,344.667,1000.04,4774.6,104.256,5884.56,0.003476522733341314
13,2250290.0,348.361,1010.83,4873.91,105.02799999999999,5995.45,0.003542944642652368
14,2250140.0,352.094,1021.74,4974.28,105.809,6107.53,0.003609366551963422
15,2249980.0,355.86400000000003,1032.76,5075.74,106.598,6220.81,0.00368021658856188
16,2249830.0,359.673,1043.88,5178.3,107.395,6335.3,0.003746638497872934
17,2249680.0,363.52,1055.12,5281.96,108.20100000000001,6451.02,0.003813060407183988
18,2249520.0,367.405,1066.47,5386.73,109.016,6567.97,0.0038839104437824457
19,2249360.0,371.329,1077.94,5492.63,109.84,6686.17,0.003954760480381014
20,2249200.0,375.292,1089.52,5599.67,110.67200000000001,6805.64,0.004025610516979472
21,2249040.0,379.29400000000004,1101.22,5707.86,111.514,6926.38,0.00409646055357793
22,2248870.0,383.335,1113.03,5817.21,112.36399999999999,7048.4,0.004171738717463791
23,2248710.0,387.416,1124.96,5927.74,113.223,7171.73,0.004242588754062249
24,2248540.0,391.537,1137.01,6039.44,114.09200000000001,7296.37,0.00431786691794811
25,2248370.0,395.699,1149.18,6152.35,114.97,7422.33,0.004393145081833971
26,2248200.0,399.901,1161.47,6266.46,115.85799999999999,7549.63,0.0044684232457198325
27,2248030.0,404.144,1173.88,6381.79,116.755,7678.28,0.004543701409605805
28,2247850.0,408.42800000000005,1186.41,6498.35,117.661,7808.3,0.00462340770077907
29,2247680.0,412.755,1199.07,6616.16,118.57700000000001,7939.7,0.004698685864664931
30,2247500.0,417.12300000000005,1211.85,6735.22,119.50299999999999,8072.48,0.004778392155838196
31,2247320.0,421.533,1224.76,6855.55,120.439,8206.67,0.004858098447011461
32,2247140.0,425.986,1237.8,6977.16,121.385,8342.28,0.004937804738184726
33,2246950.0,430.48199999999997,1250.96,7100.07,122.34100000000001,8479.32,0.005021939156645394
34,2246770.0,435.02099999999996,1264.26,7224.28,123.307,8617.81,0.00510164544781877
35,2246580.0,439.603,1277.68,7349.82,124.28299999999999,8757.75,0.0051857798662794385
36,2246390.0,444.23,1291.23,7476.68,125.26899999999999,8899.17,0.005269914284740107
37,2246200.0,448.901,1304.92,7604.89,126.26700000000001,9042.08,0.0053540487032007755
38,2246010.0,453.616,1318.73,7734.46,127.274,9186.49,0.005438183121661444
39,2245810.0,458.376,1332.68,7865.4,128.292,9332.42,0.005526745667409516
40,2245610.0,463.181,1346.77,7997.73,129.322,9479.87,0.005615308213157699
41,2245410.0,468.032,1360.99,8131.45,130.362,9628.87,0.005703870758905771
42,2245210.0,472.92900000000003,1375.35,8266.58,131.412,9779.43,0.005792433304653843
43,2245010.0,477.87199999999996,1389.85,8403.14,132.474,9931.57,0.0058809958504019155
44,2244800.0,482.861,1404.49,8541.14,133.548,10085.3,0.005973986523437391
45,2244590.0,487.897,1419.26,8680.59,134.632,10240.6,0.006066977196472867
46,2244380.0,492.98,1434.18,8821.51,135.72799999999998,10397.6,0.006159967869508454
47,2244170.0,498.111,1449.24,8963.91,136.835,10556.1,0.006252958542543929
48,2243950.0,503.289,1464.45,9107.8,137.954,10716.4,0.006350377342866809
49,2243740.0,508.51599999999996,1479.79,9253.2,139.085,10878.3,0.006443368015902284
50,2243520.0,513.79,1495.29,9400.12,140.22799999999998,11041.9,0.006540786816225164
51,2243300.0,519.114,1510.92,9548.58,141.382,11207.1,0.006638205616548043
52,2243070.0,524.487,1526.71,9698.6,142.549,11374.1,0.006740052544158437
53,2242850.0,529.909,1542.65,9850.18,143.72799999999998,11542.8,0.006837471344481316
54,2242620.0,535.38,1558.73,10003.3,144.91899999999998,11713.3,0.006939318272091599
55,2242390.0,540.9019999999999,1574.96,10158.1,146.123,11885.5,0.007041165199701882
56,2242150.0,546.474,1591.35,10314.5,147.339,12059.5,0.0071474402545995686
57,2241920.0,552.097,1607.89,10472.5,148.567,12235.2,0.0072492871822099625
58,2241680.0,557.77,1624.58,10632.1,149.809,12412.8,0.007355562237107649
59,2241440.0,563.495,1641.43,10793.4,151.063,12592.2,0.0074618372920053355
60,2241200.0,569.271,1658.43,10956.3,152.33,12773.5,0.007568112346903022
61,2240950.0,575.1,1675.59,11121.0,153.611,12956.6,0.007678815529088112
62,2240700.0,580.98,1692.9,11287.4,154.905,13141.6,0.007789518711273313
63,2240450.0,586.913,1710.38,11455.4,156.21200000000002,13328.5,0.007900221893458403
64,2240200.0,592.899,1728.01,11625.2,157.532,13517.2,0.008010925075643494
65,2239940.0,598.937,1745.8,11796.8,158.866,13707.9,0.008126056385115987
66,2239690.0,605.029,1763.76,11970.1,160.214,13900.6,0.008236759567301077
67,2239430.0,611.175,1781.88,12145.2,161.576,14095.2,0.008351890876773682
68,2239160.0,617.375,1800.16,12322.1,162.952,14291.8,0.00847145031353358
69,2238900.0,623.629,1818.61,12500.8,164.342,14490.3,0.008586581623006073
70,2238630.0,629.938,1837.22,12681.4,165.74599999999998,14690.9,0.00870614105976597
