,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,2,2
7,0,0,3,3
8,0,0,7,7
9,0,0,7,7
10,0,0,7,7
11,0,0,7,7
12,0,0,7,7
13,0,0,7,7
14,0,0,7,7
15,0,0,8,8
16,0,0,8,8
17,0,0,8,8
18,0,0,9,9
19,1,0,8,9
20,2,0,8,10
21,3,0,7,10
22,4,0,6,10
23,5,0,5,10
24,6,0,11,17
25,7,0,15,22
26,8,0,16,24
27,10,0,19,29
28,11,0,18,29
29,12,0,17,29
30,13,0,19,32
31,14,0,18,32
32,15,0,21,36
33,16,0,28,44
34,17,0,58,75
35,18,0,79,97
36,20,0,84,104
37,21,0,142,163
38,22,0,143,165
39,23,0,144,167
40,24,0,145,169
41,25,0,145,170
42,26,0,148,174
43,27,0,147,174
44,28,0,165,193
45,30,1,163,194
46,37,1,158,196
47,40,1,160,201
48,50,1,154,205
49,62,1,143,206
50,69,1,144,214
51,69,1,152,222
52,69,1,156,226
53,71,1,154,226
54,71,1,159,231
55,161,1,69,231
56,161,1,75,237
57,165,1,81,247
58,179,1,70,250
59,196,1,53,250
60,202,1,45,248
61,211,1,37,249
62,211,1,52,264
63,211,1,59,271
64,212,1,63,276
65,227,1,59,287
66,231,1,63,295
67,231,1,63,295
68,232,1,73,306
69,232,1,75,308
70,241,2,67,310
71,255,2,57,314
72,262,2,61,325
73,264,2,61,327
74,264,2,61,327
75,278,2,55,335
76,279,2,62,343
77,290,2,57,349
78,290,2,74,366
79,296,3,71,370
80,300,3,83,386
81,301,4,94,399
82,306,4,95,405
83,306,4,99,409
84,310,4,109,423
85,322,4,116,442
86,326,4,115,445
87,325,5,122,452
88,326,5,137,468
89,328,6,146,480
90,340,7,135,482
91,362,7,143,512
92,370,7,146,523
93,379,9,179,567
94,389,9,198,596
95,391,9,238,638
96,397,9,247,653
97,409,9,309,727
98,421,11,301,733
99,446,11,307,764
100,450,12,329,791
101,480,12,321,813
102,489,13,340,842
103,524,13,331,868
104,538,13,379,930
105,547,14,401,962
106,616,15,383,1014
107,635,18,390,1043
108,657,18,411,1086
109,678,19,412,1109
110,688,20,430,1138
111,707,22,463,1192
112,747,22,423,1192
113,770,22,469,1261
114,828,23,490,1341
115,850,24,550,1424
116,861,25,602,1488
117,940,26,718,1684
118,965,27,791,1783
119,992,25,855,1872
120,1012,28,972,2012
121,1036,29,1149,2214
122,1057,30,1294,2381
123,1085,33,1460,2578
124,1103,36,1591,2730
125,1159,40,1728,2927
126,1221,43,1971,3235
127,1282,44,2060,3386
128,1421,45,2144,3610
129,1453,47,2509,4009
130,1520,52,2719,4291
131,1585,57,2861,4503
132,1703,62,3048,4813
133,1864,65,3196,5125
134,1961,72,3389,5422
135,2443,73,3337,5853
136,3023,74,3210,6307
137,3043,80,3497,6620
138,3068,83,3716,6867
139,3100,88,3941,7129
140,3144,90,4381,7615
141,3802,95,4281,8178
142,4149,101,4090,8340
143,4559,115,4012,8686
144,4728,120,4345,9193
145,5043,124,4638,9805
146,5504,124,4513,10141
147,5874,125,4806,10805
148,6090,138,5284,11512
149,6293,141,5640,12074
150,6531,147,6082,12760
151,6904,149,6337,13390
152,7317,161,6743,14221
153,7633,168,6895,14696
154,8103,182,7039,15324
155,8607,186,7188,15981
156,8994,200,7462,16656
157,9633,211,7628,17472
158,10301,217,7223,17741
159,10806,228,7170,18204
160,11799,235,6941,18975
161,12813,246,6705,19764
162,13557,261,6569,20387
163,14229,276,6647,21152
164,14754,286,6805,21845
165,15328,291,6966,22585
166,16128,303,6660,23091
167,16597,311,6768,23676
168,17354,323,6791,24468
169,18075,335,6768,25178
170,18755,338,6764,25857
171,19342,346,7168,26856
172,19893,361,7174,27428
173,20348,368,7334,28050
174,21064,379,7320,28763
175,21519,392,7661,29572
176,22122,402,7972,30496
177,22869,420,8213,31502
178,23520,437,8542,32499
179,24358,452,8643,33453
180,25211,461,8661,34333
181,26046,469,8606,35121
182,26637,480,8919,36036
183,27464,496,9260,37220
184,28301,506,9529,38336
185,29117,516,9555,39188
186,29972,524,9676,40172
187,30841,539,9711,41091
188,31827,554,9577,41958
189,32519,560,9775,42854
190,33489,576,10044,44109
191,34594,585,10090,45269
192,35712,591,9836,46139
193,36826,604,9746,47176
194,37772,618,9746,48136
195,38728,630,9610,48968
196,39580,644,9391,49615
197,40433,653,8954,50040
198,41570,664,8409,50643
199,42609,675,7914,51198
200,43533,684,7531,51748
201,44321,700,7259,52280
202,45279,703,6787,52769
203,45279,703,6787,52769
