,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,5577380.0,1147.22,7653.84,43785.4,694.1039999999999,52137.0,0.011795456128001036
1,5576990.0,1077.83,7295.73,44489.9,703.5310000000001,52492.7,0.01186455663255881
2,5576620.0,1016.43,6950.36,45161.3,712.515,52827.5,0.011930113521498087
3,5576260.0,961.066,6618.68,45800.8,721.072,53143.6,0.011993898602628339
4,5575920.0,910.4060000000001,6301.08,46409.7,729.2189999999999,53442.9,0.012054140068140207
5,5575600.0,863.539,5997.55,46989.2,736.975,53726.5,0.01211083791803369
6,5575300.0,819.829,5707.87,47540.9,744.3560000000001,53995.7,0.0121639921523089
7,5575010.0,778.824,5431.67,48065.8,751.3810000000001,54251.4,0.012215374578774862
8,5574730.0,740.196,5168.49,48565.4,758.065,54494.3,0.012264985197431688
9,5574470.0,703.7,4917.83,49040.7,764.425,54725.2,0.01231105220047013
10,5574220.0,669.1460000000001,4679.17,49493.0,770.477,54944.8,0.012355347395699434
11,5573980.0,636.382,4452.0,49923.3,776.235,55153.5,0.012397870783119602
12,5573760.0,605.285,4235.77,50332.7,781.7130000000001,55352.1,0.012436850554921386
13,5573540.0,575.749,4030.01,50722.2,786.926,55541.0,0.01247583032672317
14,5573340.0,547.681,3834.2,51092.8,791.885,55720.7,0.012511266482906569
15,5573140.0,521.0,3647.88,51445.4,796.6030000000001,55891.6,0.012546702639089968
16,5572960.0,495.63,3470.59,51780.9,801.092,56054.2,0.012578595179655094
17,5572780.0,471.50300000000004,3301.91,52100.0,805.362,56208.8,0.01261048772022022
18,5572610.0,448.556,3141.42,52403.7,809.425,56356.0,0.012640608452976099
19,5572450.0,426.73,2988.72,52692.6,813.291,56496.0,0.01266895737792284
20,5572300.0,405.968,2843.44,52967.4,816.9689999999999,56629.1,0.012695534495060445
21,5572160.0,386.217,2705.21,53228.9,820.4680000000001,56755.8,0.012720339804388914
22,5572020.0,367.42800000000005,2573.7,53477.7,823.796,56876.3,0.012745145113717271
23,5571890.0,349.55400000000003,2448.58,53714.4,826.9630000000001,56991.0,0.012768178615236492
24,5571770.0,332.55,2329.53,53939.5,829.9760000000001,57100.1,0.012789440308946576
25,5571650.0,316.374,2216.28,54153.7,832.8430000000001,57203.9,0.01281070200265666
26,5571530.0,300.98400000000004,2108.52,54357.6,835.57,57302.6,0.012831963696366744
27,5571430.0,286.344,2006.0,54551.5,838.165,57396.5,0.012849681774458444
28,5571330.0,272.415,1908.47,54735.9,840.633,57485.9,0.012867399852550143
29,5571230.0,259.164,1815.68,54911.4,842.982,57570.9,0.012885117930641843
30,5571140.0,246.558,1727.39,55078.4,845.216,57651.8,0.012901064200924406
31,5571050.0,234.565,1643.4,55237.2,847.341,57728.7,0.012917010471206969
32,5570970.0,223.15599999999998,1563.49,55388.4,849.3639999999999,57801.9,0.012931184933680395
33,5570890.0,212.301,1487.46,55532.2,851.2869999999999,57871.6,0.01294535939615371
34,5570810.0,201.97400000000002,1415.13,55668.9,853.118,57937.8,0.012959533858627137
35,5570740.0,192.15,1346.32,55799.1,854.8589999999999,58000.9,0.012971936513291316
36,5570670.0,182.804,1280.85,55922.9,856.5160000000001,58060.8,0.012984339167955494
37,5570610.0,173.912,1218.57,56040.7,858.092,58117.9,0.012994970014810536
