,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3929640.0,2.0958200000000002,17.1042,0.18625799999999998,0.0,26.285,4.32607731415402e-06
1,3929640.0,2.80543,18.125999999999998,0.383614,0.0,27.5076,4.32607731415402e-06
2,3929630.0,3.3718199999999996,19.4471,0.594172,0.0,29.0421,6.870828675342722e-06
3,3929630.0,3.8645400000000003,21.0121,0.820951,0.0,30.8363,6.870828675342722e-06
4,3929630.0,4.3266,22.7933,1.0665200000000001,0.0,32.8654,6.870828675342722e-06
5,3929630.0,4.7851300000000005,24.7803,1.33322,0.0,35.1214,6.870828675342722e-06
6,3929620.0,5.25779,26.9738,1.62337,0.0,37.6073,9.415580036642446e-06
7,3929620.0,5.75669,29.3814,1.93933,0.0,40.3334,9.415580036642446e-06
8,3929620.0,6.290719999999999,32.016,2.28356,0.0,43.3148,9.415580036642446e-06
9,3929610.0,6.866960000000001,34.8941,2.65869,0.0,46.5709,1.1960331397831148e-05
10,3929610.0,7.4916,38.0353,3.06758,0.0,50.1241,1.1960331397831148e-05
11,3929600.0,8.1704,41.4619,3.51329,0.0,53.9997,1.4505082759130872e-05
12,3929600.0,6.717230000000001,44.6329,3.99703,0.0,57.6474,1.4505082759130872e-05
13,3929600.0,5.90469,47.2228,4.51283,0.0,60.748999999999995,1.4505082759130872e-05
14,3929600.0,5.47996,49.4864,5.0557,0.0,63.5534,1.4505082759130872e-05
15,3929590.0,5.3227400000000005,51.5864,5.25202,0.37093899999999996,66.2198,1.7049834120430596e-05
16,3929590.0,6.5197400000000005,52.4035,7.00145,0.752228,69.1736,1.7049834120430596e-05
17,3929580.0,7.34432,53.6702,8.78647,1.14127,72.6185,1.9594585481619298e-05
18,3929580.0,4.84497,54.4186,10.6101,1.53872,75.5756,1.9594585481619298e-05
19,3929580.0,3.3589,54.1912,12.4411,1.9377900000000001,77.5708,1.9594585481619298e-05
20,3929580.0,2.46956,53.4089,14.2543,2.33298,78.9926,1.9594585481619298e-05
21,3929580.0,1.9318,52.3192,16.0355,2.72119,80.0696,1.9594585481619298e-05
22,3929580.0,1.60135,51.067,17.777,3.10075,80.9368,1.9594585481619298e-05
23,3929580.0,1.39331,49.7369,19.4748,3.4708,81.6736,1.9594585481619298e-05
24,3929580.0,1.25769,48.3785,21.1273,3.8309599999999997,82.3272,1.9594585481619298e-05
25,3929580.0,1.16509,47.0202,22.734,4.1811300000000005,82.9252,1.9594585481619298e-05
26,3929580.0,1.09816,45.6783,24.2952,4.521380000000001,83.4844,1.9594585481619298e-05
27,3929580.0,1.04671,44.3619,25.8115,4.85188,84.0146,1.9594585481619298e-05
