,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3916200.0,654.605,2662.01,7154.8,221.486,10039.9,0.003424471906835591
1,3916010.0,642.214,2636.5,7333.34,224.06599999999997,10195.4,0.0034728221826993977
2,3915830.0,631.257,2609.97,7510.11,226.62,10348.2,0.0035186277072019045
3,3915640.0,621.375,2582.79,7685.08,229.14700000000002,10498.5,0.003566977983065711
4,3915460.0,612.305,2555.2,7858.2,231.649,10646.5,0.003612783507568218
5,3915280.0,603.851,2527.41,8029.46,234.123,10792.4,0.003658589032070725
6,3915110.0,595.87,2499.56,8198.84,236.57,10936.4,0.003701849805212043
7,3914930.0,588.257,2471.73,8366.34,238.99,11078.5,0.00374765532971455
8,3914760.0,580.934,2444.01,8531.97,241.38299999999998,11218.8,0.003790916102855757
9,3914590.0,573.8430000000001,2416.46,8695.74,243.74900000000002,11357.3,0.003834176875997075
10,3914420.0,566.943,2389.1,8857.65,246.088,11494.2,0.0038774376491382823
11,3914260.0,560.203,2361.97,9017.73,248.40099999999998,11629.4,0.003918153670918301
12,3914090.0,553.5980000000001,2335.08,9176.0,250.688,11763.1,0.003961414444059619
13,3913930.0,547.111,2308.45,9332.45,252.94799999999998,11895.2,0.004002130465839637
14,3913770.0,540.73,2282.09,9487.13,255.183,12025.7,0.004042846487619656
15,3913610.0,534.445,2256.01,9640.03,257.392,12154.7,0.004083562509399674
16,3913450.0,528.249,2230.19,9791.19,259.57599999999996,12282.2,0.0041242785311796926
17,3913300.0,522.136,2204.66,9940.62,261.735,12408.3,0.004162449801598411
18,3913140.0,516.101,2179.41,10088.3,263.869,12532.8,0.00420316582337843
19,3912990.0,510.142,2154.43,10234.4,265.97900000000004,12656.0,0.004241337093797259
20,3912840.0,504.256,2129.73,10378.7,268.064,12777.7,0.004279508364215978
21,3912690.0,498.44,2105.3,10521.4,270.126,12898.0,0.004317679634634808
22,3912550.0,492.69300000000004,2081.15,10662.5,272.164,13016.9,0.004353306153692338
23,3912400.0,487.014,2057.26,10801.9,274.178,13134.5,0.004391477424111057
24,3912260.0,481.4,2033.65,10939.7,276.17,13250.7,0.004427103943168587
25,3912120.0,475.851,2010.3,11076.0,278.138,13365.6,0.004462730462226117
26,3911980.0,470.36699999999996,1987.22,11210.7,280.084,13479.1,0.004498356981283647
27,3911840.0,464.945,1964.39,11343.8,282.008,13591.3,0.004533983500341177
28,3911700.0,459.585,1941.82,11475.4,283.91,13702.3,0.004569610019398596
29,3911570.0,454.287,1919.51,11605.5,285.789,13811.9,0.004602691787094937
30,3911430.0,449.04900000000004,1897.45,11734.1,287.647,13920.3,0.004638318306152467
31,3911300.0,443.871,1875.64,11861.3,289.48400000000004,14027.5,0.004671400073848697
32,3911170.0,438.75300000000004,1854.08,11986.9,291.3,14133.4,0.0047044818415449274
33,3911040.0,433.69199999999995,1832.76,12111.2,293.094,14238.1,0.004737563609241269
34,3910910.0,428.69,1811.68,12234.0,294.868,14341.5,0.004770645376937499
35,3910790.0,423.744,1790.84,12355.3,296.622,14443.8,0.004801182393272541
36,3910660.0,418.855,1770.24,12475.3,298.356,14544.9,0.004834264160968771
37,3910540.0,414.022,1749.87,12593.9,300.069,14644.9,0.0048648011773038125
38,3910420.0,409.244,1729.73,12711.2,301.763,14743.7,0.004895338193638743
39,3910300.0,404.52099999999996,1709.82,12827.1,303.437,14841.3,0.004925875209973785
40,3910180.0,399.852,1690.14,12941.6,305.093,14937.8,0.004956412226308826
41,3910060.0,395.235,1670.68,13054.9,306.72900000000004,15033.2,0.004986949242643868
42,3909950.0,390.67199999999997,1651.44,13166.8,308.346,15127.5,0.00501494150761761
43,3909830.0,386.161,1632.42,13277.4,309.944,15220.7,0.005045478523952651
44,3909720.0,381.70099999999996,1613.62,13386.8,311.525,15312.9,0.005073470788926393
45,3909600.0,377.293,1595.03,13494.9,313.087,15403.9,0.005104007805261324
46,3909490.0,372.934,1576.65,13601.8,314.63,15494.0,0.0051320000702351765
47,3909380.0,368.626,1558.48,13707.4,316.157,15582.9,0.005159992335208918
48,3909280.0,364.36699999999996,1540.52,13811.8,317.665,15670.9,0.0051854398488213604
49,3909170.0,360.157,1522.76,13915.1,319.156,15757.8,0.005213432113795213
50,3909060.0,355.995,1505.21,14017.1,320.63,15843.8,0.005241424378768955
51,3908960.0,351.88,1487.85,14117.9,322.087,15928.7,0.005266871892381397
52,3908850.0,347.81300000000005,1470.69,14217.6,323.528,16012.7,0.00529486415735525
53,3908750.0,343.792,1453.73,14316.1,324.95099999999996,16095.7,0.005320311670967692
54,3908650.0,339.81699999999995,1436.96,14413.5,326.358,16177.7,0.0053457591845802455
55,3908550.0,335.88800000000003,1420.39,14509.8,327.749,16258.8,0.005371206698192688
56,3908450.0,332.004,1404.0,14605.0,329.124,16338.9,0.005396654211805241
57,3908350.0,328.164,1387.8,14699.0,330.483,16418.1,0.005422101725417794
58,3908260.0,324.369,1371.78,14792.0,331.827,16496.4,0.005445004487669047
59,3908160.0,320.617,1355.95,14883.9,333.155,16573.8,0.0054704520012814895
60,3908070.0,316.908,1340.3,14974.8,334.467,16650.3,0.005493354763532743
61,3907980.0,313.241,1324.82,15064.6,335.764,16725.9,0.005516257525784107
62,3907880.0,309.617,1309.52,15153.3,337.04699999999997,16800.7,0.0055417050393965495
63,3907790.0,306.034,1294.4,15241.1,338.314,16874.5,0.005564607801647803
64,3907700.0,302.493,1279.45,15327.8,339.56699999999995,16947.5,0.005587510563899056
65,3907610.0,298.992,1264.68,15413.5,340.806,17019.7,0.00561041332615031
66,3907530.0,295.531,1250.07,15498.2,342.03,17091.1,0.0056307713370403745
67,3907440.0,292.11,1235.62,15582.0,343.24,17161.6,0.005653674099291628
68,3907350.0,288.728,1221.35,15664.8,344.436,17231.3,0.005676576861542881
69,3907270.0,285.385,1207.23,15746.6,345.61800000000005,17300.2,0.005696934872432835
70,3907180.0,282.08099999999996,1193.28,15827.5,346.787,17368.2,0.0057198376346841995
71,3907100.0,278.815,1179.49,15907.4,347.94199999999995,17435.5,0.005740195645574153
72,3907020.0,275.586,1165.86,15986.5,349.084,17502.1,0.005760553656464218
73,3906940.0,272.394,1152.38,16064.6,350.212,17567.8,0.005780911667354172
74,3906860.0,269.23900000000003,1139.06,16141.8,351.32800000000003,17632.8,0.005801269678244236
75,3906780.0,266.12,1125.88,16218.1,352.43,17697.1,0.00582162768913419
76,3906700.0,263.03700000000003,1112.87,16293.5,353.52,17760.5,0.005841985700024255
77,3906620.0,259.99,1099.99,16368.1,354.597,17823.3,0.0058623437109142085
78,3906550.0,256.97700000000003,1087.27,16441.8,355.662,17885.3,0.0058801569704429735
79,3906470.0,254.0,1074.69,16514.6,356.714,17946.7,0.005900514981332927
80,3906400.0,251.05599999999998,1062.26,16586.6,357.755,18007.3,0.005918328240861692
81,3906320.0,248.14700000000002,1049.97,16657.8,358.783,18067.2,0.005938686251751757
82,3906250.0,245.271,1037.82,16728.1,359.79900000000004,18126.4,0.005956499511280522
83,3906180.0,242.428,1025.81,16797.7,360.80400000000003,18184.9,0.005974312770809287
84,3906110.0,239.618,1013.94,16866.4,361.79699999999997,18242.7,0.005992126030338052
85,3906040.0,236.84,1002.21,16934.3,362.778,18299.9,0.006009939289866817
86,3905970.0,234.09400000000002,990.6060000000001,17001.5,363.74800000000005,18356.4,0.006027752549395582
87,3905900.0,231.38,979.138,17067.9,364.707,18412.3,0.006045565808924236
88,3905830.0,228.697,967.803,17133.5,365.655,18467.5,0.006063379068453001
89,3905760.0,226.045,956.597,17198.3,366.592,18522.0,0.006081192327981766
90,3905700.0,223.424,945.5210000000001,17262.4,367.51800000000003,18576.0,0.006096460836149342
91,3905630.0,220.833,934.572,17325.7,368.43300000000005,18629.3,0.006114274095678107
92,3905560.0,218.271,923.748,17388.3,369.338,18682.0,0.006132087355206872
93,3905500.0,215.74,913.049,17450.2,370.23199999999997,18734.0,0.0061473558633743375
94,3905440.0,213.237,902.4730000000001,17511.4,371.115,18785.5,0.006162624371541803
95,3905370.0,210.763,892.0189999999999,17571.9,371.98900000000003,18836.4,0.006180437631070568
96,3905310.0,208.31799999999998,881.685,17631.6,372.852,18886.7,0.006195706139238144
97,3905250.0,205.90099999999998,871.47,17690.7,373.70599999999996,18936.4,0.006210974647405609
98,3905190.0,203.512,861.373,17749.1,374.54900000000004,18985.5,0.006226243155573075
