,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.0,1
3,0,0,1.0,1
4,0,0,1.0,1
5,0,0,1.0,1
6,0,0,1.0,1
7,0,0,1.0,1
8,0,0,1.0,1
9,0,0,1.0,1
10,0,0,1.0,1
11,0,0,1.0,1
12,0,0,1.0,1
13,0,0,1.0,1
14,0,0,1.0,1
15,0,1,0.8571428571428571,1
16,0,1,0.8571428571428571,2
17,0,1,0.8571428571428571,2
18,0,2,3.1428571428571432,19
19,0,2,5.7142857142857135,21
20,0,2,8.285714285714286,21
21,0,3,12.428571428571427,33
22,0,3,17.571428571428573,39
23,0,3,25.142857142857146,57
24,0,4,32.714285714285715,58
25,0,4,40.142857142857146,73
26,0,4,50.28571428571429,94
27,0,5,60.714285714285715,97
28,0,5,70.57142857142857,104
29,0,5,79.57142857142857,104
30,1,6,85.28571428571429,101
31,3,6,91.14285714285714,104
32,8,6,94.85714285714286,109
33,8,6,95.57142857142857,109
34,8,6,96.14285714285714,110
35,41,7,90.85714285714286,110
36,45,7,85.42857142857143,113
37,51,7,80.14285714285714,115
38,51,7,74.85714285714286,116
39,52,7,69.42857142857143,116
40,65,7,62.14285714285714,116
41,75,7,53.42857142857143,117
42,75,7,50.0,120
43,90,7,45.42857142857143,126
44,90,7,41.42857142857143,126
45,90,7,37.285714285714285,126
46,90,7,33.57142857142857,128
47,90,9,32.42857142857143,135
48,98,9,33.714285714285715,151
49,100,10,34.142857142857146,151
50,100,11,35.857142857142854,152
51,110,11,37.142857142857146,159
52,110,11,38.285714285714285,158
53,119,11,39.42857142857143,169
54,121,11,39.714285714285715,170
55,122,11,39.142857142857146,173
56,122,11,39.285714285714285,175
57,132,11,38.857142857142854,181
58,139,11,38.142857142857146,183
59,144,11,37.57142857142857,188
60,144,11,36.57142857142857,187
61,148,11,37.0,200
62,152,11,36.714285714285715,201
63,152,11,37.57142857142857,211
64,157,12,39.857142857142854,223
65,160,12,43.0,227
66,160,10,47.42857142857143,234
67,161,10,52.42857142857143,238
68,161,10,56.14285714285714,238
69,164,10,60.714285714285715,244
70,165,10,64.42857142857143,249
71,171,11,66.85714285714286,253
72,178,11,69.85714285714286,265
73,183,11,71.71428571428571,271
74,190,11,72.71428571428571,275
75,193,11,73.28571428571429,275
76,208,12,72.85714285714286,287
77,214,13,70.28571428571429,283
78,222,14,68.42857142857143,294
79,225,14,65.42857142857143,294
80,228,14,63.85714285714285,308
81,238,15,61.714285714285715,312
82,251,15,60.57142857142857,329
83,253,15,62.0,345
84,253,15,65.14285714285714,346
85,254,15,69.71428571428571,359
86,262,17,76.14285714285714,379
87,265,17,81.57142857142857,386
88,273,17,87.7142857142857,392
89,276,18,93.14285714285714,395
90,284,18,95.57142857142857,396
91,290,18,99.57142857142857,414
92,295,19,102.57142857142857,425
93,312,20,102.85714285714286,434
94,325,20,102.42857142857143,446
95,327,20,103.0,453
96,335,23,105.0,473
97,351,24,106.0,476
98,357,24,108.42857142857143,504
99,360,24,110.42857142857143,509
100,375,24,113.14285714285714,520
101,377,27,119.71428571428572,551
102,391,28,128.57142857142858,587
103,401,28,136.28571428571428,598
104,410,29,148.0,622
105,416,29,162.14285714285714,667
106,430,30,176.28571428571428,684
107,440,31,193.42857142857144,712
108,454,31,212.85714285714286,768
109,463,31,231.7142857142857,794
110,480,32,252.28571428571428,825
111,500,33,276.2857142857143,884
112,519,36,292.14285714285717,888
113,537,38,311.57142857142856,935
114,579,38,322.42857142857144,934
115,628,40,323.14285714285717,956
116,643,44,331.57142857142856,1046
117,700,46,333.85714285714283,1075
118,718,47,336.7142857142857,1136
119,781,48,338.0,1171
120,810,49,338.14285714285717,1220
121,820,49,357.71428571428567,1323
122,861,50,380.0,1355
123,926,52,398.1428571428572,1464
124,967,52,434.71428571428567,1604
125,997,53,478.71428571428567,1729
126,1033,53,530.5714285714286,1791
127,1040,54,600.8571428571429,1947
128,1116,56,659.1428571428571,2034
129,1149,58,725.5714285714287,2116
130,1196,61,783.5714285714287,2149
131,1285,62,826.2857142857142,2231
132,1391,62,846.1428571428571,2271
133,1550,63,846.7142857142858,2322
134,1626,64,823.7142857142858,2382
135,1638,65,805.1428571428571,2435
136,1745,67,773.4285714285713,2499
137,1868,68,737.5714285714287,2577
138,1931,69,707.5714285714287,2674
139,1991,69,691.2857142857142,2764
140,2029,71,694.8571428571429,2834
141,2114,73,703.7142857142858,2941
142,2151,78,709.1428571428571,2999
143,2205,84,726.4285714285713,3097
144,2248,81,759.2857142857142,3200
145,2331,84,789.8571428571429,3303
146,2396,87,819.5714285714287,3395
147,2509,88,846.2857142857142,3518
148,2676,91,868.2857142857142,3675
149,2745,93,898.8571428571429,3822
150,2827,94,930.5714285714287,3951
151,2921,95,958.8571428571428,4085
152,3012,99,1007.5714285714287,4340
153,3114,101,1058.857142857143,4486
154,3232,104,1112.857142857143,4635
155,3334,103,1176.2857142857142,4789
156,3434,99,1236.857142857143,4941
157,3536,100,1299.0,5101
