,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,5842500.0,0.6601899999999999,1.08113,0.00703589,0.00436581,1.09279,-5.134790825866986e-07
1,5842490.0,0.833917,1.1878799999999998,0.014706499999999999,0.0091255,1.21225,1.198117859591008e-06
2,5842490.0,1.02529,1.32245,0.023192599999999997,0.0143912,1.3608799999999999,1.198117859591008e-06
3,5842490.0,1.23878,1.48769,0.0326919,0.020285499999999998,1.5418399999999999,1.198117859591008e-06
4,5842490.0,1.47932,1.68715,0.0434236,0.026944599999999996,1.75909,1.198117859591008e-06
5,5842490.0,1.75246,1.9252200000000002,0.0556341,0.034521300000000005,2.0173799999999997,1.198117859591008e-06
6,5842490.0,2.0644299999999998,2.20712,0.0696019,0.0431884,2.3224099999999996,1.198117859591008e-06
7,5842490.0,2.42232,2.53911,0.0856445,0.053142999999999996,2.68098,1.198117859591008e-06
8,5842490.0,2.83427,2.9285799999999997,0.104126,0.0646106,3.10105,1.198117859591008e-06
9,5842490.0,3.30959,3.3842199999999996,0.12546300000000002,0.0778506,3.5920300000000003,1.198117859591008e-06
10,5842490.0,3.85901,3.9162199999999996,0.15013900000000002,0.093162,4.16489,1.198117859591008e-06
11,5842490.0,4.49493,4.53648,0.17870899999999998,0.11089,4.83247,1.198117859591008e-06
12,5842490.0,5.23168,5.25892,0.211817,0.131434,5.60974,1.198117859591008e-06
13,5842480.0,6.08585,6.09974,0.250209,0.155256,6.51414,2.9097148017687147e-06
14,5842480.0,7.0766800000000005,7.07781,0.294749,0.182894,7.56597,2.9097148017687147e-06
15,5842480.0,8.22644,8.21509,0.346439,0.214968,8.788860000000001,2.9097148017687147e-06
16,5842480.0,9.561010000000001,9.53713,0.406441,0.25219899999999995,10.2103,2.9097148017687147e-06
17,5842470.0,11.1104,11.0736,0.476105,0.295426,11.8621,4.621311743946421e-06
18,5842470.0,12.9094,12.8591,0.5569970000000001,0.34562,13.7816,4.621311743946421e-06
19,5842470.0,14.9986,14.9337,0.650936,0.40391,16.0117,4.621311743946421e-06
20,5842460.0,17.4248,17.344,0.760034,0.471606,18.6027,6.332908686124128e-06
21,5842460.0,15.0984,19.7386,0.8858450000000001,0.549672,21.1975,6.332908686124128e-06
22,5842450.0,18.2839,22.1723,1.02752,0.637582,23.8658,8.044505628301835e-06
23,5842450.0,21.8682,25.1167,1.18737,0.736769,27.075,8.044505628301835e-06
24,5842440.0,25.9336,28.6362,1.36906,0.849512,30.8954,9.756102570479541e-06
25,5842430.0,30.5732,32.8081,1.57675,0.978384,35.4113,1.146769951276827e-05
26,5842420.0,35.8926,37.7249,1.8151599999999999,1.12632,40.723,1.3179296454945977e-05
27,5842410.0,42.0124,43.496,2.08969,1.29667,46.9488,1.4890893397123683e-05
28,5842390.0,49.0713,50.25,2.40656,1.49328,54.2276,1.8314087281479097e-05
29,5842370.0,57.2287,58.138000000000005,2.77291,1.7206099999999998,62.7223,2.1737281165945532e-05
30,5842350.0,66.6686,67.3366,3.19702,1.98377,72.6232,2.5160475050300946e-05
31,5842330.0,77.6036,78.0518,3.6884300000000003,2.2886900000000003,84.1523,2.858366893465636e-05
32,5842310.0,90.2801,90.524,4.25821,2.64225,97.5681,3.2006862819122794e-05
33,5842270.0,104.98299999999999,105.03299999999999,4.91919,3.05239,113.17200000000001,3.885325058794464e-05
34,5842240.0,122.044,121.905,5.68624,3.52835,131.314,4.398804141447776e-05
35,5842260.0,86.6392,137.101,6.56675,4.07471,147.881,4.056484753012235e-05
36,5842270.0,58.0594,147.053,7.532,4.67365,159.351,3.885325058794464e-05
37,5842290.0,35.1466,152.809,8.5501,5.30539,166.72,3.543005670347821e-05
38,5842300.0,16.9287,155.239,9.5956,5.95413,170.815,3.37184597613005e-05
39,5842310.0,2.59,155.059,10.6484,6.60743,172.31799999999998,3.2006862819122794e-05
40,5842320.0,0.532774,143.793,21.5293,7.2359,172.558,3.0295265876945088e-05
41,5842320.0,-0.9683379999999999,133.09,31.6098,7.81814,172.515,3.0295265876945088e-05
42,5842320.0,-2.03976,122.984,40.9324,8.35661,172.269,3.0295265876945088e-05
43,5842320.0,-2.78072,113.48899999999999,49.5412,8.85385,171.87900000000002,3.0295265876945088e-05
44,5842320.0,-3.2689999999999997,104.604,57.4806,9.31243,171.391,3.0295265876945088e-05
45,5842320.0,-3.56547,96.319,64.7949,9.73489,170.842,3.0295265876945088e-05
46,5842320.0,-3.7176199999999997,88.61399999999999,71.5269,10.1237,170.25799999999998,3.0295265876945088e-05
47,5842330.0,-3.7624400000000002,81.4656,77.7181,10.4813,169.658,2.858366893465636e-05
48,5842330.0,-3.72865,74.8467,83.4081,10.81,169.058,2.858366893465636e-05
49,5842330.0,-3.63844,68.7285,88.6344,11.1118,168.468,2.858366893465636e-05
50,5842320.0,3.64413,63.6527,93.4462,11.3898,168.49400000000003,3.0295265876945088e-05
51,5842310.0,9.63529,59.9714,97.9407,11.6494,169.576,3.2006862819122794e-05
52,5842300.0,14.6136,57.4046,102.209,11.8959,171.532,3.37184597613005e-05
53,5842300.0,16.0232,55.5126,106.318,12.1333,173.989,3.37184597613005e-05
54,5842290.0,17.1101,53.9522,110.302,12.3634,176.644,3.543005670347821e-05
55,5842290.0,17.9419,52.6544,114.182,12.5875,179.452,3.543005670347821e-05
56,5842280.0,18.5721,51.5648,117.976,12.8066,182.37599999999998,3.7141653645655914e-05
57,5842280.0,19.043,50.6403,121.696,13.0215,185.387,3.7141653645655914e-05
