,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.0,1
3,0,0,1.0,1
4,0,0,1.0,1
5,0,0,1.0,1
6,0,0,1.0,1
7,0,0,1.0,1
8,0,0,1.0,1
9,0,0,1.0,1
10,0,0,1.0,1
11,0,0,1.0,1
12,0,0,1.0,1
13,0,0,1.4285714285714286,4
14,1,0,1.7142857142857142,4
15,1,0,2.0,4
16,1,0,2.2857142857142856,4
17,1,0,2.5714285714285716,4
18,1,0,2.8571428571428568,4
19,1,0,3.2857142857142856,5
20,1,0,3.8571428571428568,9
21,1,0,4.714285714285714,10
22,1,0,5.571428571428571,10
23,1,0,6.428571428571429,10
24,1,1,7.857142857142858,15
25,1,1,9.285714285714286,15
26,1,1,11.0,18
27,1,1,12.142857142857142,18
28,4,1,12.714285714285715,18
29,4,1,13.428571428571427,19
30,4,1,14.142857142857142,19
31,4,1,14.571428571428573,21
32,4,1,15.714285714285715,26
33,8,1,16.857142857142858,33
34,9,1,18.285714285714285,36
35,10,1,20.857142857142858,42
36,13,1,22.857142857142854,42
37,13,1,25.42857142857143,46
38,15,3,28.857142857142854,58
39,16,3,31.42857142857143,58
40,17,3,34.42857142857143,65
41,20,3,37.0,67
42,24,3,38.57142857142857,69
43,31,3,39.857142857142854,71
44,33,3,41.285714285714285,78
45,41,3,41.285714285714285,84
46,44,3,41.42857142857143,87
47,58,3,38.714285714285715,87
48,59,3,36.57142857142857,91
49,60,3,34.714285714285715,92
50,64,3,33.42857142857143,95
51,67,3,32.57142857142857,106
52,67,3,32.42857142857143,109
53,69,3,32.0,109
54,73,3,34.142857142857146,117
55,77,3,36.0,122
56,79,3,38.285714285714285,127
57,80,4,40.714285714285715,129
58,82,4,42.142857142857146,132
59,84,4,43.0,133
60,97,4,42.714285714285715,136
61,97,6,42.142857142857146,140
62,98,6,42.0,145
63,109,6,40.142857142857146,147
64,114,6,37.857142857142854,149
65,117,6,36.285714285714285,158
66,118,6,35.142857142857146,161
67,126,7,35.0,167
68,132,7,34.714285714285715,174
69,132,8,35.0,183
70,139,8,35.714285714285715,184
71,139,8,38.42857142857143,195
72,144,8,41.857142857142854,211
73,150,8,44.714285714285715,215
74,158,9,48.28571428571429,226
75,158,9,54.85714285714285,248
76,171,9,60.0,259
77,177,9,65.85714285714286,264
78,190,9,68.42857142857143,265
79,197,9,71.28571428571429,285
80,204,10,75.0,297
81,209,10,78.57142857142857,303
82,223,11,80.14285714285714,326
83,234,11,84.0,351
84,243,11,94.57142857142857,406
85,246,12,107.57142857142857,415
86,258,13,120.85714285714286,443
87,265,13,133.42857142857142,449
88,274,14,145.71428571428572,458
89,289,15,161.0,503
90,294,17,180.85714285714286,556
91,329,19,193.42857142857144,588
92,352,22,208.42857142857144,636
93,361,24,223.42857142857144,662
94,381,24,239.85714285714286,691
95,396,27,261.85714285714283,747
96,422,32,280.2857142857143,782
97,436,33,301.2857142857143,861
98,460,35,333.57142857142856,961
99,489,39,367.71428571428567,1029
100,503,40,405.28571428571433,1083
101,546,42,442.71428571428567,1136
102,576,42,488.4285714285714,1262
103,648,44,543.1428571428571,1403
104,672,46,596.7142857142858,1485
105,718,47,647.0,1583
106,753,48,710.2857142857142,1745
107,824,50,775.4285714285713,1870
108,864,50,855.1428571428571,2020
109,891,51,936.2857142857144,2154
110,910,51,1038.2857142857142,2386
111,951,55,1159.0,2618
112,966,58,1287.857142857143,2744
113,1022,60,1414.142857142857,2910
114,1083,63,1542.4285714285709,3040
115,1419,65,1635.857142857143,3244
116,1536,68,1725.142857142857,3441
117,1750,73,1775.857142857143,3603
118,1856,76,1821.428571428572,3863
119,1971,77,1860.7142857142856,4043
120,2198,81,1883.2857142857144,4265
121,2408,85,1901.857142857143,4517
122,2523,86,1954.142857142857,4735
123,2637,90,2009.857142857143,4954
124,2783,93,2082.8571428571427,5167
125,3003,96,2131.428571428572,5370
126,3120,98,2173.5714285714284,5508
127,3303,102,2210.5714285714284,5650
128,3536,107,2233.1428571428573,5825
129,3687,109,2252.714285714286,6059
130,3984,114,2259.714285714286,6374
131,4276,115,2253.5714285714284,6639
132,4480,121,2263.5714285714284,6942
133,4672,126,2280.857142857143,7209
134,4854,130,2306.428571428572,7408
135,5058,134,2357.0,7728
136,5224,137,2413.714285714286,8021
137,5417,139,2490.857142857143,8372
138,5639,143,2579.142857142857,8648
139,5891,150,2661.142857142857,8956
140,6183,159,2736.0,9277
141,6462,162,2809.714285714286,9564
