,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,7035850.0,814.547,2999.27,6272.5,146.153,9421.5,0.0016944313907106823
1,7035390.0,839.1489999999999,3088.42,6541.72,151.525,9785.35,0.0017597000592526335
2,7034910.0,864.332,3180.35,6818.94,157.056,10160.1,0.0018278064959919016
3,7034430.0,890.172,3275.08,7104.42,162.752,10546.2,0.0018959129327312807
4,7033920.0,916.7230000000001,3372.66,7398.41,168.61700000000002,10943.7,0.001968276021766857
5,7033400.0,944.0239999999999,3473.15,7701.16,174.658,11353.1,0.002042057994901092
6,7032870.0,972.11,3576.63,8012.92,180.878,11774.7,0.0021172588521340963
7,7032320.0,1001.01,3683.16,8333.97,187.28400000000002,12208.8,0.0021952974775646394
8,7031750.0,1030.75,3792.84,8664.59,193.88,12655.8,0.0022761738711926105
9,7031170.0,1061.36,3905.75,9005.04,200.673,13116.1,0.00235846914891924
10,7030570.0,1092.86,4021.99,9355.64,207.668,13590.1,0.0024436021948434083
11,7029950.0,1125.28,4141.65,9716.66,214.872,14078.1,0.0025315730089651156
12,7029310.0,1158.65,4264.83,10088.4,222.28900000000002,14580.6,0.0026223815912841397
13,7028660.0,1192.99,4391.62,10471.2,229.92700000000002,15098.0,0.0027146090577020443
14,7027980.0,1228.34,4522.14,10865.4,237.792,15630.8,0.002811093176416146
15,7027290.0,1264.71,4656.48,11271.3,245.891,16179.3,0.0029089961792289065
16,7026570.0,1302.14,4794.76,11689.3,254.23,16744.0,0.003011155834337864
17,7025830.0,1340.66,4937.09,12119.7,262.817,17325.5,0.0031161532576443607
18,7025080.0,1380.3,5083.58,12562.8,271.659,17924.1,0.0032225695650496267
19,7024300.0,1421.09,5234.35,13019.1,280.763,18540.5,0.003333242524750979
20,7023490.0,1463.06,5389.53,13489.0,290.137,19175.1,0.0034481721367486395
21,7022660.0,1506.24,5549.23,13972.7,299.789,19828.4,0.003565939516943728
22,7021810.0,1550.68,5713.59,14470.8,309.72700000000003,20500.9,0.0036865446653363554
23,7020930.0,1596.39,5882.73,14983.6,319.959,21193.3,0.003811406466025069
24,7020030.0,1643.43,6056.8,15511.6,330.494,21906.1,0.003939106034911322
25,7019100.0,1691.82,6235.92,16055.3,341.34,22640.0,0.0040710622560937715
26,7018150.0,1741.6,6420.24,16615.0,352.50800000000004,23395.4,0.00420585624547376
27,7017160.0,1792.81,6609.91,17191.2,364.005,24173.0,0.004346325771248605
28,7016150.0,1845.49,6805.07,17784.5,375.842,24973.5,0.004489633065220988
29,7015100.0,1899.68,7005.88,18395.2,388.028,25797.5,0.004638615895588338
30,7014030.0,1955.42,7212.49,19024.0,400.57300000000004,26645.7,0.004790436494153116
31,7012920.0,2012.75,7425.06,19671.3,413.48900000000003,27518.7,0.00494793262911275
32,7011790.0,2071.71,7643.75,20337.7,426.785,28417.4,0.005108266532269923
33,7010610.0,2132.35,7868.75,21023.7,440.473,29342.3,0.005275694855920832
34,7009410.0,2194.72,8100.2,21730.0,454.56300000000005,30294.4,0.005445960947769168
35,7008170.0,2258.85,8338.31,22456.9,469.06800000000004,31274.2,0.005621902576012472
36,7006890.0,2324.8,8583.24,23205.3,483.99800000000005,32282.7,0.005803519740650742
37,7005580.0,2392.61,8835.17,23975.6,499.36800000000005,33320.6,0.005989393557585099
38,7004230.0,2462.33,9094.31,24768.5,515.188,34388.8,0.006180942910914533
39,7002830.0,2534.02,9360.84,25584.6,531.472,35488.1,0.006379586684737593
40,7001400.0,2607.72,9634.96,26424.7,548.2330000000001,36619.4,0.0065824871108568495
41,6999930.0,2683.48,9916.87,27289.3,565.485,37783.5,0.006791063073371073
42,6998410.0,2761.37,10206.8,28179.3,583.241,38981.5,0.007006733456378922
43,6996850.0,2841.42,10504.9,29095.2,601.516,40214.2,0.0072280793757818484
44,6995250.0,2923.7,10811.5,30037.9,620.325,41482.6,0.007455100831579631
45,6993590.0,3008.27,11126.7,31008.1,639.682,42787.7,0.007690635591969808
46,6991900.0,3095.18,11450.8,32006.6,659.6039999999999,44130.6,0.007930427004656182
47,6990150.0,3184.49,11784.0,33034.1,680.105,45512.2,0.008178731721935062
48,6988350.0,3276.26,12126.6,34091.5,701.203,46933.7,0.008434130859707567
49,6986500.0,3370.56,12478.7,35179.7,722.914,48396.1,0.008696624417973697
50,6984590.0,3467.43,12840.7,36299.4,745.255,49900.6,0.008967631280832333
51,6982640.0,3566.96,13212.8,37451.6,768.243,51448.3,0.009244313680085936
52,6980620.0,3669.19,13595.2,38637.1,791.898,53040.4,0.009530928268030592
53,6978550.0,3774.2,13988.2,39857.0,816.2360000000001,54678.0,0.009824637276468984
54,6976420.0,3882.05,14392.1,41112.1,841.278,56362.5,0.01012685958949977
55,6974230.0,3992.81,14807.2,42403.4,867.0419999999999,58095.1,0.010437595207123063
56,6971980.0,4106.54,15233.6,43731.9,893.549,59877.1,0.010756844129338639
57,6969660.0,4223.32,15671.8,45098.7,920.819,61709.9,0.01108602524024549
58,6967280.0,4343.22,16122.0,46504.7,948.873,63594.6,0.011423719655744624
59,6964830.0,4466.31,16584.4,47951.1,977.732,65532.9,0.011771346259935034
60,6962310.0,4592.66,17059.4,49439.0,1007.42,67526.0,0.012128905052816497
61,6959720.0,4722.34,17547.3,50969.4,1037.95,69575.5,0.012496396034389234
62,6957050.0,4855.42,18048.4,52543.6,1069.36,71682.8,0.012875238088751795
