,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,2781640.0,1.8816400000000002,6.25822,0.471671,0.0067259,7.02033,4.313983201331695e-06
1,2781640.0,1.66472,6.61707,0.978176,0.0139485,7.891830000000001,4.313983201331695e-06
2,2781640.0,1.55324,6.872730000000001,1.50847,0.0215103,8.6848,4.313983201331695e-06
3,2781640.0,1.50125,7.071289999999999,2.0564,0.0293237,9.43885,4.313983201331695e-06
4,2781640.0,2.4828200000000002,7.48792,2.62518,0.0374344,10.4372,4.313983201331695e-06
5,2781640.0,3.30229,8.29535,3.24262,0.0462389,11.875,4.313983201331695e-06
6,2781630.0,4.074269999999999,9.41613,3.9360000000000004,0.056126300000000004,13.7028,7.90896920244144e-06
7,2781630.0,4.8703199999999995,10.8219,4.72858,0.0674283,15.9165,7.90896920244144e-06
8,2781630.0,5.738980000000001,12.5146,5.64268,0.08046310000000001,18.5406,7.90896920244144e-06
9,2781620.0,6.7171899999999996,14.5159,6.701569999999999,0.0955625,21.6207,1.1503955203551186e-05
10,2781620.0,5.50134,16.2808,7.91546,0.112872,24.6107,1.1503955203551186e-05
11,2781620.0,4.86179,17.4823,9.24394,0.13181600000000002,27.1565,1.1503955203551186e-05
12,2781610.0,4.547540000000001,18.3723,10.6535,0.151916,29.4746,1.5098941204771954e-05
13,2781610.0,4.41743,19.0927,12.1257,0.17290899999999998,31.6875,1.5098941204771954e-05
14,2781610.0,4.3921,19.7233,13.6506,0.194653,33.8646,1.5098941204771954e-05
15,2781610.0,4.4269300000000005,20.3091,15.2231,0.217077,36.0456,1.5098941204771954e-05
16,2781600.0,4.4968699999999995,20.8758,16.8407,0.240144,38.2533,1.86939272058817e-05
17,2781600.0,4.58784,21.4377,18.5026,0.263842,40.5013,1.86939272058817e-05
18,2781600.0,3.00095,21.5652,20.197,0.288003,42.3395,1.86939272058817e-05
19,2781600.0,2.0846400000000003,21.1029,21.8759,0.311945,43.5755,1.86939272058817e-05
20,2781600.0,1.54688,20.3388,23.5055,0.335181,44.4614,1.86939272058817e-05
