,Recovered,Deceased,Infected,I_c
0,0,0,12,12
1,0,0,13,13
2,0,0,13,13
3,0,0,13,13
4,0,0,13,13
5,0,0,14,14
6,0,0,20,20
7,0,0,20,20
8,0,0,21,21
9,0,0,28,28
10,0,0,39,39
11,0,0,53,53
12,0,0,53,53
13,0,0,53,53
14,0,0,53,53
15,0,0,53,53
16,0,0,72,72
17,0,0,72,72
18,0,0,72,72
19,2,0,96,98
20,4,0,94,98
21,6,0,117,123
22,8,0,152,160
23,10,0,171,181
24,10,0,171,181
25,11,0,170,181
26,13,0,169,182
27,13,0,174,187
28,16,0,176,192
29,16,0,186,202
30,29,0,173,202
31,37,0,168,205
32,79,0,126,205
33,79,0,126,205
34,112,0,93,205
35,127,0,76,203
36,127,0,76,203
37,150,0,54,204
38,150,0,54,204
39,159,0,33,192
40,159,0,33,192
41,159,0,49,208
42,170,0,39,209
43,188,0,31,219
44,188,0,31,219
45,189,0,29,218
46,190,0,28,218
47,190,0,28,218
48,190,0,29,219
49,194,0,33,227
50,195,0,32,227
51,197,0,33,230
52,200,0,31,231
53,200,0,32,232
54,203,0,31,234
55,207,0,33,240
56,207,0,41,248
57,207,0,50,257
58,207,0,51,258
59,213,0,42,255
60,217,0,44,261
61,217,0,44,261
62,217,0,47,264
63,223,0,41,264
64,224,0,42,266
65,224,0,44,268
66,229,0,43,272
67,231,0,41,272
68,232,0,41,273
69,233,0,44,277
70,233,0,50,283
71,243,0,40,283
72,244,0,43,287
73,246,0,50,296
74,249,0,50,299
75,260,0,39,299
76,262,0,56,318
77,265,0,79,344
78,265,0,83,348
79,266,0,88,354
80,266,0,87,353
81,267,0,90,357
82,276,0,84,360
83,289,0,74,363
84,291,0,80,371
85,292,0,86,378
86,321,0,59,380
87,335,0,52,387
88,343,0,58,401
89,347,0,63,410
90,346,0,69,415
91,348,0,85,433
92,353,0,87,440
93,359,1,90,450
94,363,1,93,457
95,364,1,111,476
96,371,1,112,484
97,376,1,144,521
98,396,2,130,528
99,397,2,146,545
100,410,2,135,547
101,421,3,136,560
102,425,3,145,573
103,432,4,150,586
104,435,4,163,602
105,456,4,150,610
106,466,4,144,614
107,492,4,128,624
108,500,5,138,643
109,512,5,155,672
110,513,5,165,683
111,556,5,151,712
112,564,6,173,743
113,568,6,195,769
114,571,6,239,816
115,587,7,261,855
116,600,8,288,896
117,625,9,310,944
118,629,11,380,1020
119,647,12,378,1037
120,656,12,437,1105
121,688,12,443,1143
122,706,13,477,1196
123,709,16,501,1226
124,754,17,506,1277
125,785,18,517,1320
126,837,18,529,1384
127,883,19,540,1442
128,918,19,609,1546
129,934,19,671,1624
130,964,20,738,1722
131,1003,20,805,1828
132,1024,20,907,1951
133,1054,20,932,2006
134,1068,25,1003,2096
135,1147,28,993,2168
136,1213,29,985,2227
137,1278,31,985,2294
138,1341,32,1003,2376
139,1432,34,990,2456
140,1561,39,948,2548
141,1690,39,947,2676
142,1764,40,979,2783
143,1843,40,1018,2901
144,1923,41,1052,3016
145,1973,47,1130,3150
146,2026,51,1236,3313
147,2084,53,1301,3438
148,2159,53,1367,3579
149,2219,55,1495,3769
150,2284,55,1540,3879
151,2398,57,1569,4024
152,2500,58,1586,4144
153,2595,60,1690,4345
154,2688,61,1740,4489
155,2835,63,1748,4646
156,2981,65,1756,4802
157,3062,67,1837,4966
158,3211,68,1858,5137
159,3392,69,1788,5249
160,3474,72,1837,5383
161,3615,74,1825,5514
162,3743,75,1818,5636
163,3950,75,1726,5751
164,4062,75,1691,5828
165,4222,81,1635,5938
166,4342,85,1621,6048
167,4441,86,1608,6135
168,4585,86,1580,6251
169,4715,88,1526,6329
170,4849,91,1448,6388
171,4941,94,1414,6449
172,5054,95,1356,6505
173,5133,96,1343,6572
174,5230,96,1294,6620
175,5287,97,1263,6647
176,5421,98,1197,6716
177,5510,98,1187,6795
178,5572,100,1169,6841
179,5639,100,1133,6872
180,5688,101,1142,6931
181,5688,101,1142,6931
