,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4065280.0,183.949,1234.54,5682.19,104.14200000000001,7021.36,0.002160976553257088
1,4065220.0,179.12099999999998,1202.67,5763.3,105.73700000000001,7072.18,0.002175703790103456
2,4065170.0,174.438,1171.6,5842.32,107.291,7121.67,0.002187976487475485
3,4065110.0,169.89,1141.32,5919.3,108.805,7169.86,0.002202703724321853
4,4065060.0,165.468,1111.81,5994.29,110.28,7216.8,0.0022149764216937706
5,4065000.0,161.168,1083.06,6067.34,111.71600000000001,7262.52,0.0022297036585401386
6,4064950.0,156.984,1055.04,6138.49,113.115,7307.06,0.0022419763559121675
7,4064900.0,152.912,1027.75,6207.81,114.479,7350.43,0.0022542490532840853
8,4064860.0,148.947,1001.16,6275.34,115.807,7392.69,0.002264067211181664
9,4064810.0,145.08700000000002,975.2560000000001,6341.12,117.1,7433.84,0.002276339908553693
10,4064760.0,141.328,950.0210000000001,6405.19,118.36,7473.93,0.0022886126059256107
11,4064720.0,137.667,925.437,6467.61,119.588,7512.99,0.0022984307638231893
12,4064670.0,134.101,901.4889999999999,6528.41,120.78399999999999,7551.03,0.002310703461195218
13,4064630.0,130.628,878.16,6587.64,121.948,7588.08,0.002320521619092797
14,4064590.0,127.245,855.434,6645.34,123.083,7624.18,0.0023303397769903755
15,4064550.0,123.95,833.296,6701.54,124.18799999999999,7659.34,0.002340157934887954
16,4064510.0,120.741,811.7289999999999,6756.29,125.265,7693.59,0.002349976092785533
17,4064470.0,117.61399999999999,790.721,6809.62,126.314,7726.95,0.0023597942506831115
18,4064440.0,114.569,770.2560000000001,6861.57,127.335,7759.45,0.00236715786910624
19,4064400.0,111.603,750.32,6912.18,128.33100000000002,7791.11,0.0023769760270038187
20,4064360.0,108.713,730.9,6961.48,129.3,7821.95,0.0023867941849013974
21,4064330.0,105.898,711.982,7009.5,130.245,7851.99,0.002394157803324637
22,4064300.0,103.156,693.554,7056.28,131.164,7881.25,0.0024015214217477654
23,4064260.0,100.485,675.602,7101.84,132.061,7909.75,0.002411339579645344
24,4064230.0,97.8833,658.115,7146.23,132.933,7937.52,0.0024187031980685836
25,4064200.0,95.3488,641.08,7189.47,133.784,7964.57,0.002426066816491712
26,4064170.0,92.88,624.486,7231.59,134.612,7990.92,0.0024334304349149516
27,4064140.0,90.4751,608.321,7272.62,135.41899999999998,8016.58,0.00244079405333808
28,4064110.0,88.1324,592.5740000000001,7312.59,136.205,8041.58,0.0024481576717613196
29,4064090.0,85.8504,577.235,7351.52,136.971,8065.93,0.002453066750710109
30,4064060.0,83.6275,562.293,7389.45,137.717,8089.66,0.0024604303691332374
31,4064030.0,81.4621,547.737,7426.39,138.44299999999998,8112.76,0.002467793987556477
32,4064010.0,79.3528,533.558,7462.38,139.151,8135.27,0.0024727030665052663
33,4063980.0,77.2981,519.746,7497.43,139.84,8157.2,0.0024800666849283948
34,4063960.0,75.2966,506.292,7531.58,140.512,8178.56,0.002484975763877184
35,4063930.0,73.3469,493.185,7564.84,141.166,8199.37,0.0024923393823004236
36,4063910.0,71.4477,480.418,7597.25,141.803,8219.63,0.002497248461249213
37,4063890.0,69.5976,467.981,7628.81,142.424,8239.38,0.0025021575401980023
38,4063860.0,67.7955,455.866,7659.56,143.028,8258.61,0.002509521158621131
39,4063840.0,66.04,444.064,7689.51,143.61700000000002,8277.34,0.00251443023756992
40,4063820.0,64.3299,432.56800000000004,7718.68,144.191,8295.59,0.0025193393165187095
41,4063800.0,62.6642,421.369,7747.1,144.75,8313.37,0.002524248395467499
42,4063780.0,61.0415,410.46,7774.79,145.295,8330.68,0.002529157474416288
43,4063760.0,59.4609,399.834,7801.76,145.825,8347.55,0.0025340665533650775
44,4063740.0,57.9212,389.48199999999997,7828.03,146.342,8363.98,0.002538975632313867
45,4063730.0,56.4214,379.399,7853.62,146.845,8379.98,0.002541430171788317
46,4063710.0,54.9604,369.57599999999996,7878.54,147.335,8395.57,0.0025463392507371063
47,4063690.0,53.5372,360.00800000000004,7902.82,147.813,8410.76,0.0025512483296858957
48,4063670.0,52.1509,350.68699999999995,7926.48,148.278,8425.55,0.002556157408634685
49,4063660.0,50.8005,341.608,7949.52,148.731,8439.96,0.002558611948109024
50,4063640.0,49.485,332.764,7971.96,149.172,8454.0,0.0025635210270578135
51,4063630.0,48.2036,324.14799999999997,7993.82,149.602,8467.68,0.0025659755665322637
52,4063610.0,46.9554,315.756,8015.12,150.02100000000002,8481.0,0.002570884645481053
53,4063600.0,45.7395,307.58,8035.87,150.429,8493.97,0.002573339184955392
54,4063580.0,44.555,299.617,8056.08,150.826,8506.61,0.0025782482639041815
55,4063570.0,43.4013,291.85900000000004,8075.76,151.213,8518.92,0.0025807028033786317
56,4063550.0,42.2774,284.303,8094.94,151.591,8530.91,0.002585611882327421
57,4063540.0,41.1826,276.942,8113.61,151.958,8542.6,0.00258806642180176
58,4063530.0,40.1162,269.77099999999996,8131.81,152.316,8553.98,0.0025905209612762103
59,4063510.0,39.0774,262.786,8149.53,152.664,8565.06,0.0025954300402249997
60,4063500.0,38.0655,255.982,8166.8,153.004,8575.86,0.002597884579699339
61,4063490.0,37.0797,249.354,8183.62,153.335,8586.38,0.002600339119173789
62,4063480.0,36.1195,242.898,8200.0,153.657,8596.62,0.002602793658648128
63,4063470.0,35.1842,236.609,8215.96,153.971,8606.6,0.0026052481981225784
64,4063460.0,34.2731,230.482,8231.5,154.276,8616.33,0.0026077027375969175
65,4063440.0,33.3856,224.514,8246.65,154.57399999999998,8625.8,0.002612611816545707
66,4063430.0,32.521,218.701,8261.4,154.864,8635.02,0.002615066356020157
67,4063420.0,31.6789,213.03799999999998,8275.77,155.14700000000002,8644.01,0.002617520895494496
68,4063410.0,30.8585,207.52200000000002,8289.76,155.422,8652.76,0.0026199754349689464
69,4063400.0,30.0594,202.149,8303.4,155.69,8661.29,0.0026224299744432855
70,4063390.0,29.281,196.91400000000002,8316.68,155.951,8669.59,0.0026248845139177357
71,4063390.0,28.5228,191.81599999999997,8329.62,156.20600000000002,8677.69,0.0026248845139177357
72,4063380.0,27.7842,186.84900000000002,8342.22,156.454,8685.57,0.002627339053392075
73,4063370.0,27.0647,182.011,8354.5,156.695,8693.24,0.002629793592866525
74,4063360.0,26.3638,177.298,8366.45,156.93,8700.72,0.002632248132340864
75,4063350.0,25.6811,172.707,8378.1,157.159,8708.01,0.0026347026718153144
76,4063340.0,25.0161,168.235,8389.45,157.382,8715.1,0.0026371572112896535
77,4063330.0,24.3682,163.87900000000002,8400.5,157.6,8722.02,0.0026396117507641037
78,4063330.0,23.7372,159.635,8411.27,157.812,8728.75,0.0026396117507641037
79,4063320.0,23.1225,155.501,8421.76,158.018,8735.31,0.002642066290238443
80,4063310.0,22.5237,151.475,8431.98,158.219,8741.7,0.002644520829712893
81,4063300.0,21.9404,147.553,8441.93,158.414,8747.92,0.002646975369187232
82,4063300.0,21.3723,143.732,8451.62,158.605,8753.98,0.002646975369187232
83,4063290.0,20.8188,140.01,8461.06,158.791,8759.89,0.0026494299086616824
84,4063280.0,20.2797,136.384,8470.26,158.972,8765.64,0.0026518844481360215
85,4063280.0,19.7545,132.85299999999998,8479.22,159.148,8771.25,0.0026518844481360215
86,4063270.0,19.2429,129.41299999999998,8487.95,159.32,8776.71,0.0026543389876104717
87,4063270.0,18.7446,126.06200000000001,8496.46,159.487,8782.02,0.0026543389876104717
88,4063260.0,18.2592,122.79700000000001,8504.74,159.65,8787.2,0.002656793527084811
89,4063250.0,17.7864,119.617,8512.81,159.808,8792.25,0.002659248066559261
90,4063250.0,17.3258,116.52,8520.66,159.963,8797.16,0.002659248066559261
91,4063240.0,16.8771,113.50299999999999,8528.32,160.113,8801.95,0.0026617026060336
