,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.0,1
3,0,0,1.0,1
4,0,0,1.0,1
5,0,0,1.0,1
6,0,0,1.0,1
7,0,0,1.0,1
8,0,0,1.0,1
9,0,0,1.0,1
10,0,0,1.0,1
11,0,0,1.0,1
12,0,0,1.0,1
13,0,0,1.0,1
14,0,0,1.0,1
15,0,0,1.0,1
16,0,0,1.0,1
17,1,0,0.8571428571428571,1
18,1,0,0.7142857142857143,1
19,1,0,0.5714285714285714,1
20,1,0,0.42857142857142855,1
21,1,0,0.2857142857142857,1
22,1,0,0.14285714285714285,1
23,1,0,0.0,1
24,1,0,0.0,1
25,1,0,0.0,1
26,1,0,0.0,1
27,1,0,0.0,1
28,1,0,0.0,1
29,1,0,0.0,1
30,1,0,0.0,1
31,1,0,0.0,1
32,1,0,0.0,1
33,1,0,0.0,1
34,1,0,0.0,1
35,1,0,0.14285714285714285,2
36,1,0,0.42857142857142855,3
37,1,0,0.7142857142857143,3
38,1,0,1.5714285714285714,7
39,1,0,2.4285714285714284,7
40,1,0,3.2857142857142856,7
41,1,0,4.714285714285714,11
42,1,0,6.285714285714287,13
43,1,0,7.857142857142858,14
44,1,0,9.857142857142858,17
45,1,0,11.428571428571427,18
46,1,0,13.142857142857142,19
47,2,0,14.714285714285715,19
48,2,0,15.714285714285715,19
49,2,0,16.428571428571427,19
50,6,0,16.428571428571427,19
51,6,0,16.142857142857142,20
52,10,0,15.571428571428573,23
53,10,0,15.285714285714285,26
54,14,0,15.285714285714285,31
55,14,0,15.285714285714285,31
56,17,0,15.571428571428573,36
57,18,0,16.714285714285715,39
58,18,0,17.714285714285715,39
59,19,0,19.571428571428573,45
60,19,0,21.428571428571427,48
61,19,0,23.285714285714285,49
62,19,0,25.714285714285715,53
63,19,0,27.857142857142854,53
64,21,0,30.42857142857143,60
65,24,0,33.142857142857146,64
66,26,0,35.42857142857143,68
67,30,0,37.0,70
68,33,0,38.285714285714285,72
69,35,0,38.857142857142854,73
70,35,0,39.857142857142854,76
71,40,0,41.42857142857143,90
72,42,0,42.714285714285715,91
73,46,0,43.57142857142857,94
74,50,0,44.714285714285715,98
75,50,0,46.14285714285714,99
76,61,0,47.0,105
77,64,0,48.57142857142857,116
78,67,0,48.57142857142857,117
79,70,0,49.0,122
80,79,0,48.28571428571429,122
81,83,0,47.14285714285714,123
82,87,0,46.14285714285714,129
83,90,0,46.28571428571429,135
84,92,0,45.28571428571429,137
85,99,0,44.0,140
86,110,0,40.714285714285715,139
87,114,0,38.57142857142857,142
88,117,0,36.42857142857143,142
89,119,0,35.0,151
90,120,0,34.285714285714285,160
91,121,0,33.42857142857143,160
92,124,0,32.857142857142854,161
93,129,0,34.57142857142857,170
94,130,0,37.714285714285715,180
95,130,0,43.85714285714285,198
96,130,1,51.85714285714285,219
97,132,1,62.42857142857143,247
98,140,1,73.42857142857143,257
99,149,1,84.28571428571429,263
100,150,1,100.57142857142857,306
101,151,1,123.71428571428572,364
102,159,1,143.42857142857142,366
103,169,1,165.14285714285714,410
104,173,1,187.28571428571428,443
105,194,1,215.85714285714286,511
106,243,1,243.85714285714286,553
107,282,1,264.7142857142857,584
108,308,1,284.57142857142856,660
109,315,2,324.0,799
110,349,3,356.1428571428572,817
111,385,4,380.4285714285714,828
112,411,6,403.71428571428567,896
113,443,7,436.0,985
114,505,8,477.1428571428572,1102
115,525,8,516.1428571428571,1157
116,548,9,546.2857142857143,1250
117,570,10,576.0,1253
118,579,10,612.8571428571429,1286
119,584,10,661.8571428571429,1416
120,615,11,704.1428571428571,1457
121,636,13,746.7142857142858,1536
122,707,14,779.5714285714287,1575
123,764,14,806.0,1656
124,780,16,844.5714285714287,1739
125,963,17,858.1428571428571,1772
126,997,18,855.0,1815
127,1012,20,857.1428571428571,1878
128,1012,21,865.7142857142858,1980
129,1183,23,864.2857142857142,2050
130,1236,24,862.7142857142858,2127
131,1289,25,851.7142857142858,2180
132,1334,25,867.5714285714287,2262
133,1398,26,880.5714285714287,2315
134,1609,27,870.7142857142858,2413
135,1732,28,839.5714285714287,2489
136,1849,30,812.5714285714287,2534
137,1908,30,781.5714285714287,2588
138,1987,30,750.4285714285713,2665
139,2074,33,709.7142857142858,2725
140,2136,37,670.7142857142858,2791
141,2199,38,650.8571428571429,2875
142,2247,39,658.0,3065
143,2350,41,669.0,3123
144,2407,42,676.4285714285714,3151
