,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,3587410.0,206.87900000000002,579.3380000000001,4850.58,73.1787,5503.59,0.0021195928823959376
1,3587340.0,200.328,560.95,4917.07,73.9455,5552.44,0.0021390642080872935
2,3587280.0,193.981,543.148,4981.45,74.688,5599.75,0.002155753915822678
3,3587210.0,187.832,525.913,5043.79,75.4069,5645.56,0.002175225241514034
4,3587150.0,181.875,509.227,5104.15,76.1029,5689.91,0.0021919149492494183
5,3587100.0,176.106,493.07,5162.59,76.7769,5732.86,0.0022058230390288314
6,3587040.0,170.519,477.426,5219.18,77.4296,5774.44,0.002222512746764327
7,3586980.0,165.108,462.278,5273.98,78.0615,5814.71,0.0022392024544997113
8,3586930.0,159.869,447.611,5327.03,78.6733,5853.69,0.0022531105442792354
9,3586880.0,154.795,433.409,5378.4,79.2658,5891.44,0.0022670186340586485
10,3586830.0,149.882,419.657,5428.15,79.8394,5928.0,0.0022809267238381725
11,3586780.0,145.124,406.341,5476.31,80.3949,5963.39,0.0022948348136176966
12,3586740.0,140.518,393.44699999999995,5522.95,80.9327,5997.66,0.0023059612854412492
13,3586690.0,136.05700000000002,380.962,5568.1,81.4534,6030.84,0.0023198693752207733
14,3586650.0,131.738,368.87300000000005,5611.82,81.9577,6062.97,0.002330995847044437
15,3586610.0,127.556,357.167,5654.16,82.4459,6094.07,0.0023421223188679896
16,3586570.0,123.506,345.832,5695.15,82.9186,6124.19,0.0023532487906915422
17,3586530.0,119.585,334.856,5734.84,83.3764,6153.36,0.002364375262515206
18,3586490.0,115.789,324.22900000000004,5773.27,83.8196,6181.59,0.0023755017343387586
19,3586450.0,112.113,313.939,5810.48,84.2487,6208.94,0.002386628206162422
20,3586420.0,108.553,303.974,5846.52,84.6642,6235.41,0.0023949730600301145
21,3586380.0,105.10600000000001,294.32599999999996,5881.4,85.0666,6261.04,0.002406099531853667
22,3586350.0,101.76899999999999,284.98400000000004,5915.18,85.4561,6285.86,0.0024144443857213593
23,3586320.0,98.5378,275.938,5947.89,85.8333,6309.89,0.0024227892395890516
