,Recovered,Deceased,Infected,I_c
0,0,0,1.8571428571428568,3
1,0,0,2.142857142857143,3
2,0,0,2.5714285714285716,4
3,0,0,3.0,4
4,0,0,3.4285714285714284,4
5,0,0,3.571428571428572,4
6,0,0,3.7142857142857135,4
7,0,0,4.0,5
8,0,0,4.428571428571429,6
9,0,0,4.714285714285714,6
10,0,0,5.0,6
11,0,0,5.285714285714286,6
12,0,0,5.571428571428571,6
13,0,0,6.7142857142857135,12
14,1,0,7.571428571428571,12
15,1,0,8.714285714285714,15
16,2,0,10.0,17
17,2,0,11.285714285714285,17
18,3,0,12.571428571428573,18
19,4,0,13.714285714285715,18
20,4,0,14.0,18
21,5,0,14.285714285714285,18
22,5,0,14.142857142857142,18
23,6,0,13.714285714285715,18
24,7,0,13.142857142857142,18
25,7,0,12.571428571428573,18
26,8,0,12.0,18
27,8,0,11.714285714285715,20
28,9,0,11.428571428571427,20
29,9,0,11.428571428571427,22
30,10,0,11.714285714285715,24
31,11,0,12.0,24
32,11,0,12.285714285714285,24
33,12,0,12.714285714285715,25
34,12,0,12.857142857142858,25
35,13,0,13.0,25
36,14,0,13.142857142857142,28
37,14,0,13.142857142857142,28
38,14,0,13.714285714285715,31
39,16,0,14.0,31
40,17,0,14.142857142857142,31
41,18,1,14.0,31
42,20,1,14.0,33
43,20,1,13.714285714285715,33
44,20,1,13.428571428571427,33
45,20,1,12.857142857142858,34
46,20,1,12.571428571428573,34
47,20,1,12.428571428571427,34
48,26,1,11.714285714285715,34
49,26,1,11.0,34
50,26,1,10.428571428571429,35
51,26,1,9.857142857142858,35
52,26,1,9.142857142857142,35
53,26,1,8.571428571428571,36
54,28,1,8.142857142857142,39
55,28,1,8.714285714285714,40
56,28,1,9.857142857142858,44
57,28,1,11.0,45
58,28,1,12.428571428571427,47
59,28,1,13.857142857142858,47
60,29,1,15.0,47
61,29,1,16.0,47
62,29,1,17.857142857142858,54
63,29,1,20.428571428571427,63
64,29,3,24.285714285714285,75
65,29,4,27.857142857142854,76
66,35,4,31.0,79
67,35,4,34.857142857142854,83
68,35,4,40.0,92
69,38,3,54.14285714285714,164
70,38,3,70.0,185
71,38,3,91.42857142857143,234
72,41,3,113.71428571428572,243
73,41,4,141.42857142857142,279
74,44,5,169.28571428571428,288
75,53,7,199.42857142857144,324
76,62,7,221.57142857142856,347
77,70,7,241.14285714285717,358
78,81,9,253.42857142857144,369
79,112,9,261.2857142857143,375
80,139,9,263.2857142857143,396
81,169,11,261.0,403
82,194,11,255.7142857142857,432
83,223,14,246.28571428571428,449
84,244,16,234.85714285714286,461
85,254,16,224.28571428571428,475
86,263,16,216.85714285714286,481
87,269,16,212.0,499
88,283,16,213.7142857142857,534
89,363,16,207.42857142857144,562
90,365,16,203.57142857142856,566
91,369,16,205.57142857142856,600
92,412,16,201.7142857142857,606
93,419,16,197.57142857142856,608
94,424,17,194.28571428571428,632
95,463,20,184.28571428571428,648
96,474,20,181.14285714285717,655
97,484,21,176.71428571428572,659
98,518,21,164.28571428571428,667
99,522,21,158.0,677
100,558,22,147.71428571428572,681
101,551,24,137.14285714285714,692
102,555,24,132.57142857142858,712
103,565,25,127.14285714285714,713
104,579,25,123.71428571428572,734
105,579,25,125.14285714285714,742
106,588,25,126.14285714285714,754
107,603,25,130.28571428571428,758
108,608,26,133.85714285714286,776
109,621,27,134.42857142857142,785
110,627,27,138.42857142857142,805
111,648,27,140.0,816
112,654,27,142.42857142857142,836
113,654,27,149.42857142857142,871
114,666,28,157.14285714285714,878
115,666,28,164.71428571428572,889
116,698,28,175.14285714285714,936
117,711,28,185.28571428571428,961
118,721,28,200.85714285714286,999
119,737,29,219.14285714285717,1049
120,762,29,237.14285714285717,1107
121,792,31,252.42857142857144,1114
122,801,31,274.0,1178
123,823,33,296.14285714285717,1221
124,828,34,325.42857142857144,1289
125,861,36,350.0,1319
126,891,37,375.71428571428567,1391
127,934,37,397.1428571428572,1437
128,956,38,420.28571428571433,1447
129,997,38,434.4285714285714,1480
130,1039,39,446.8571428571428,1530
131,1072,41,456.0,1604
132,1167,44,459.71428571428567,1659
133,1220,46,453.57142857142856,1686
134,1264,48,447.71428571428567,1737
135,1280,50,446.57142857142856,1775
136,1335,52,445.28571428571433,1823
137,1375,54,443.71428571428567,1870
138,1411,58,440.57142857142856,1938
139,1504,63,432.57142857142856,1959
140,1552,68,426.4285714285714,1997
141,1593,75,417.57142857142856,2031
142,1612,79,408.4285714285714,2072
143,1636,80,408.71428571428567,2154
144,1653,81,417.4285714285714,2236
145,1684,82,422.71428571428567,2272
146,1731,83,442.57142857142856,2345
147,1755,84,465.8571428571428,2379
148,1775,85,495.1428571428572,2428
149,1791,87,520.7142857142857,2438
150,1847,91,543.7142857142857,2537
151,1857,94,572.5714285714286,2655
152,1890,97,608.1428571428571,2742
153,1920,99,649.1428571428571,2837
154,2014,100,687.0,2919
155,2047,101,725.4285714285713,2985
156,2124,103,757.5714285714287,3012
157,2172,105,794.1428571428571,3132
158,2251,107,828.4285714285713,3302
159,2269,113,873.4285714285713,3452
160,2311,119,929.0,3637
161,2393,125,999.4285714285713,3816
162,2514,128,1064.7142857142858,3936
163,2723,131,1128.4285714285713,4085
