,Recovered,Deceased,Infected,I_c
0,0,0,5,5
1,0,0,6,6
2,0,0,8,8
3,0,0,8,8
4,0,0,8,8
5,0,0,8,8
6,0,0,8,8
7,0,0,8,8
8,0,0,8,8
9,0,0,8,8
10,0,0,8,8
11,0,0,8,8
12,0,0,8,8
13,0,0,9,9
14,0,0,9,9
15,0,0,9,9
16,0,0,9,9
17,0,0,9,9
18,0,0,9,9
19,1,0,8,9
20,3,0,7,10
21,4,0,6,10
22,6,0,4,10
23,6,0,4,10
24,6,0,4,10
25,6,0,4,10
26,8,0,2,10
27,8,0,2,10
28,8,0,2,10
29,8,0,2,10
30,8,0,2,10
31,8,0,2,10
32,8,0,2,10
33,8,0,2,10
34,8,0,2,10
35,9,0,1,10
36,9,0,1,10
37,9,0,1,10
38,9,0,2,11
39,9,0,3,12
40,10,0,2,12
41,10,0,4,14
42,10,0,5,15
43,10,0,5,15
44,10,0,6,16
45,10,0,13,23
46,10,0,15,25
47,10,0,17,27
48,10,0,18,28
49,10,0,75,85
50,10,0,107,117
51,10,0,116,126
52,10,0,126,136
53,22,0,116,138
54,22,0,117,139
55,23,0,201,224
56,23,1,205,229
57,23,1,236,260
58,109,1,153,263
59,117,1,167,285
60,118,1,181,300
61,128,1,181,310
62,130,1,183,314
63,133,1,187,321
64,133,1,189,323
65,216,1,107,324
66,216,1,111,328
67,216,1,117,334
68,216,1,117,334
69,216,1,117,334
70,216,1,117,334
71,221,1,113,335
72,221,1,116,338
73,227,2,111,340
74,235,2,111,348
75,244,2,108,354
76,268,2,91,361
77,268,2,96,366
78,268,2,96,366
79,268,2,98,368
80,268,2,106,376
81,277,2,104,383
82,277,2,132,411
83,304,2,119,425
84,304,2,148,454
85,338,3,127,468
86,340,3,127,470
87,340,3,131,474
88,345,3,148,496
89,345,3,165,513
90,345,3,178,526
91,345,3,182,530
92,345,3,189,537
93,358,3,180,541
94,361,3,182,546
95,364,4,180,548
96,373,4,183,560
97,373,4,187,564
98,375,4,185,564
99,435,5,137,577
100,435,6,142,583
101,446,7,130,583
102,450,7,150,607
103,458,7,176,641
104,458,7,183,648
105,458,7,219,684
106,458,7,226,691
107,509,7,184,700
108,509,7,199,715
109,509,7,272,788
110,540,8,271,819
111,540,8,348,896
112,541,8,377,926
113,541,8,382,931
114,565,9,405,979
115,565,11,448,1024
116,604,12,428,1044
117,604,14,452,1070
118,669,15,420,1104
119,674,16,509,1199
120,674,16,542,1232
121,674,18,587,1279
122,679,20,590,1289
123,755,21,563,1339
124,787,21,564,1372
125,805,23,578,1406
126,856,23,612,1491
127,903,23,581,1507
128,932,27,573,1532
129,958,27,596,1581
130,978,27,604,1609
131,993,27,604,1624
132,1028,28,622,1678
133,1076,29,635,1740
134,1161,29,571,1761
135,1249,31,504,1784
136,1278,31,573,1882
137,1307,37,598,1942
138,1332,40,617,1989
139,1355,40,644,2039
140,1397,40,699,2136
141,1447,41,662,2150
142,1474,43,699,2216
143,1554,44,657,2255
144,1629,44,663,2336
145,1705,44,709,2458
146,1706,45,762,2513
147,1757,46,755,2558
148,1854,47,696,2597
149,1911,52,733,2696
150,2081,53,668,2802
151,2102,54,743,2899
152,2157,54,793,3004
153,2178,57,900,3135
154,2191,62,995,3248
155,2227,63,997,3287
156,2276,66,1087,3429
157,2282,68,1191,3541
158,2344,71,1162,3577
159,2395,71,1229,3695
160,2601,71,1133,3805
161,2601,72,1242,3915
162,2810,75,1241,4126
163,2934,78,1160,4172
164,3044,79,1275,4398
165,3080,80,1356,4516
166,3212,80,1427,4719
167,3395,80,1327,4802
168,3474,89,1470,5033
169,3516,93,1472,5081
170,3696,96,1400,5192
171,3712,97,1459,5268
172,3897,98,1392,5387
173,4124,102,1219,5445
174,4223,103,1292,5618
175,4285,104,1294,5683
176,4306,104,1323,5733
177,4415,105,1229,5749
178,4716,109,971,5796
179,4854,112,942,5908
180,4854,112,942,5908
