,Recovered,Deceased,Infected,I_c
0,26,0,94.57142857142857,139
1,26,0,106.71428571428572,143
2,36,0,114.42857142857143,158
3,50,0,124.14285714285714,205
4,67,0,128.57142857142858,216
5,67,0,131.14285714285714,217
6,69,0,136.57142857142858,219
7,70,0,145.57142857142858,246
8,70,0,155.71428571428572,258
9,211,0,145.14285714285714,259
10,211,0,130.57142857142858,264
11,212,0,119.28571428571428,282
12,212,0,108.0,283
13,212,0,97.0,285
14,232,0,79.85714285714286,288
15,253,0,58.0,288
16,264,0,54.57142857142857,288
17,264,0,50.42857142857143,288
18,264,0,43.85714285714285,288
19,266,0,37.285714285714285,291
20,266,0,30.42857142857143,291
21,281,0,23.857142857142854,291
22,289,0,20.142857142857142,298
23,289,0,18.0,298
24,296,0,15.571428571428573,303
25,296,0,13.142857142857142,303
26,300,0,10.142857142857142,304
27,300,0,7.2857142857142865,305
28,304,0,6.0,305
29,304,0,4.857142857142857,305
30,304,0,3.7142857142857135,305
31,305,0,3.1428571428571432,308
32,305,0,3.0,311
33,305,0,3.4285714285714284,312
34,305,0,3.7142857142857135,312
35,308,0,5.0,318
36,308,0,6.285714285714287,318
37,308,0,13.0,356
38,310,0,19.714285714285715,360
39,310,0,26.0,360
40,314,0,32.285714285714285,365
41,315,0,41.57142857142857,387
42,315,0,51.714285714285715,396
43,318,0,61.714285714285715,398
44,318,0,67.14285714285714,404
45,355,0,67.28571428571429,406
46,359,0,71.57142857142857,439
47,359,0,80.71428571428571,474
48,378,0,87.0,494
49,386,1,92.57142857142857,507
50,394,1,101.71428571428572,539
51,400,1,110.85714285714286,551
52,432,1,123.71428571428572,574
53,440,1,133.42857142857142,589
54,467,1,136.57142857142858,605
55,479,1,142.57142857142858,638
56,494,0,156.14285714285714,709
57,515,0,170.71428571428572,761
58,534,0,202.28571428571428,905
59,557,0,243.14285714285717,984
60,570,0,285.2857142857143,1013
61,643,0,324.85714285714283,1057
62,740,0,359.0,1137
63,748,0,397.8571428571428,1235
64,758,0,436.57142857142856,1275
65,825,0,461.0,1367
66,962,0,464.28571428571433,1412
67,995,0,466.1428571428572,1451
68,1037,0,472.4285714285714,1495
69,1062,0,485.1428571428572,1548
70,1166,1,482.71428571428567,1637
71,1214,1,473.4285714285714,1667
72,1267,1,464.0,1744
73,1358,1,461.0,1788
74,1396,1,456.0,1818
75,1402,2,458.71428571428567,1881
76,1471,2,454.57142857142856,1930
77,1565,4,447.71428571428567,1991
78,1609,4,450.1428571428572,2082
79,1665,4,449.57142857142856,2141
80,1738,5,448.57142857142856,2165
81,1767,5,457.28571428571433,2254
82,1892,5,452.0,2337
83,1915,6,460.71428571428567,2439
84,1957,6,485.0,2555
85,1999,8,517.0,2700
86,2054,9,551.7142857142857,2778
87,2135,9,600.5714285714286,2908
