,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,1849040.0,0.711867,3.03628,0.363722,0.00347639,4.26259,1.6224609162840409e-06
1,1849040.0,0.97241,3.09156,0.725169,0.00693104,4.68406,1.6224609162840409e-06
2,1849040.0,1.16276,3.24382,1.0993,0.0105069,5.21497,1.6224609162840409e-06
3,1849040.0,1.31938,3.4588,1.49536,0.0142924,5.83057,1.6224609162840409e-06
4,1849040.0,0.790612,3.54809,1.9127,0.0182812,6.33857,1.6224609162840409e-06
5,1849040.0,0.497684,3.4416300000000004,2.32775,0.022248300000000002,6.64968,1.6224609162840409e-06
6,1849040.0,0.332878,3.24363,2.72412,0.0260366,6.85102,1.6224609162840409e-06
7,1849040.0,0.237916,3.0091099999999997,3.09452,0.029576799999999997,6.98997,1.6224609162840409e-06
8,1849030.0,1.5614700000000001,3.09816,3.44959,0.032970599999999996,7.444039999999999,7.030663970453155e-06
9,1849030.0,2.90046,3.78756,3.8510199999999997,0.036807400000000004,8.54534,7.030663970453155e-06
10,1849030.0,4.5195300000000005,5.08055,4.36877,0.041755900000000006,10.369000000000002,7.030663970453155e-06
11,1849020.0,6.67996,7.10048,5.08039,0.048557499999999996,13.1181,1.2438867024733291e-05
12,1849010.0,9.69276,10.0885,6.08483,0.0581577,17.1351,1.7847070078902405e-05
13,1849010.0,7.713439999999999,12.9572,7.46012,0.07130260000000001,21.3824,1.7847070078902405e-05
14,1849010.0,6.7547,14.8431,9.11128,0.08708400000000001,24.9305,1.7847070078902405e-05
15,1849000.0,6.35239,16.213,10.9521,0.104678,28.1568,2.325527313318254e-05
16,1849000.0,2.79968,16.424,12.9012,0.123307,30.318,2.325527313318254e-05
17,1849010.0,0.9733370000000001,15.4016,14.7931,0.14139000000000002,31.1964,1.7847070078902405e-05
18,1849010.0,0.06622769999999999,13.8809,16.5297,0.15798800000000002,31.4245,1.7847070078902405e-05
19,1849010.0,-0.355875,12.2346,18.0765,0.172772,31.3377,1.7847070078902405e-05
20,1849000.0,2.83727,11.4891,19.4646,0.186039,32.0094,2.325527313318254e-05
21,1849000.0,5.187819999999999,12.0935,20.8493,0.199274,34.0234,2.325527313318254e-05
22,1848990.0,7.21223,13.6353,22.3631,0.213743,37.1034,2.8663476187462678e-05
23,1848980.0,9.2162,15.9342,24.1048,0.23039,41.1706,3.407167924163179e-05
24,1848980.0,11.397,18.9449,26.1603,0.25003600000000004,46.2673,3.407167924163179e-05
25,1848970.0,13.9,22.7052,28.6154,0.273501,52.5185,3.947988229591193e-05
26,1848960.0,10.8682,25.848000000000003,31.5057,0.301126,58.5642,4.488808535008104e-05
27,1848960.0,9.23954,27.5853,34.6771,0.331438,63.4952,4.488808535008104e-05
28,1848950.0,8.369110000000001,28.5633,38.0052,0.363247,67.8287,5.029628840436118e-05
29,1848950.0,7.90845,29.131,41.4224,0.395908,71.8441,5.029628840436118e-05
30,1848940.0,7.66925,29.4772,44.8926,0.429076,75.6924,5.570449145853029e-05
31,1848930.0,10.7697,30.5039,48.4281,0.462868,80.3038,6.111269451281043e-05
32,1848920.0,13.1817,32.6796,52.1573,0.49851,86.2562,6.652089756697954e-05
33,1848910.0,15.3036,35.6563,56.1932,0.537085,93.318,7.192910062125968e-05
34,1848900.0,17.3598,39.2662,60.6197,0.579392,101.40700000000001,7.733730367542879e-05
35,1848890.0,19.4816,43.4406,65.5069,0.626103,110.52600000000001,8.274550672970893e-05
36,1848870.0,21.7512,48.1674,70.9205,0.677846,120.729,9.356191283815818e-05
37,1848860.0,24.2256,53.4673,76.9269,0.735254,132.105,9.897011589243832e-05
38,1848850.0,15.6708,56.5404,83.4812,0.797899,141.753,0.00010437831894660743
39,1848850.0,10.865,56.2458,90.1798,0.861923,148.197,0.00010437831894660743
40,1848850.0,8.098289999999999,54.2694,96.7331,0.924558,152.82299999999998,0.00010437831894660743
41,1848840.0,6.44552,51.5126,103.0,0.98446,156.385,0.00010978652200088757
42,1848840.0,5.40594,48.4535,108.92,1.04104,159.297,0.00010978652200088757
43,1848840.0,4.7081,45.342,114.473,1.09412,161.78799999999998,0.00010978652200088757
44,1848840.0,4.20458,42.3054,119.661,1.1437,163.987,0.00010978652200088757
45,1848840.0,3.8150199999999996,39.405,124.49799999999999,1.18993,165.967,0.00010978652200088757
46,1848830.0,3.49535,36.6674,129.0,1.23296,167.773,0.00011519472505505668
47,1848820.0,11.0363,36.0487,133.267,1.2737399999999999,171.5,0.00012060292810933682
48,1848810.0,16.6894,38.5173,137.654,1.3156700000000001,178.425,0.00012601113116350593
49,1848790.0,21.595,43.1375,142.466,1.36166,187.92700000000002,0.00013682753727195518
50,1848770.0,26.4163,49.4875,147.928,1.4138700000000002,199.81599999999997,0.00014764394338040443
51,1848750.0,31.5666,57.4371,154.236,1.4741600000000001,214.15900000000002,0.00015846034948885368
52,1848720.0,37.3338,67.0307,161.58,1.54436,231.196,0.00017468495865158307
53,1848690.0,43.9492,78.4269,170.16400000000002,1.6264,251.29,0.00019090956781431245
54,1848650.0,51.6267,91.8691,180.213,1.72245,274.916,0.00021254238003121095
55,1848610.0,60.5857,107.67399999999999,191.989,1.835,302.653,0.00023417519224810945
56,1848560.0,71.0669,126.228,205.793,1.9669299999999998,335.195,0.0002612162075192881
57,1848500.0,83.3431,147.996,221.976,2.12161,373.36199999999997,0.00029366542584463584
58,1848430.0,97.7295,173.52599999999998,240.95,2.3029599999999997,418.119,0.00033152284722426373
59,1848350.0,114.59200000000001,203.463,263.198,2.5156,470.599,0.00037478847165806073
60,1848250.0,134.36,238.565,289.284,2.76493,532.135,0.000428870502200307
61,1848140.0,157.533,279.72,319.871,3.05727,604.284,0.0004883607357968334
62,1848010.0,184.697,327.972,355.733,3.40004,688.875,0.000558667375501809
63,1847980.0,117.648,359.897,396.791,3.79245,761.918,0.0005748919846645384
