,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,5964150.0,933.095,939.815,10805.4,212.054,11958.4,0.003831411225054482
1,5963930.0,926.27,933.05,10921.6,214.199,12070.0,0.0038681569624235967
2,5963710.0,919.498,926.322,11036.9,216.328,12180.7,0.0039049026997928227
3,5963490.0,912.778,919.633,11151.5,218.44099999999997,12290.6,0.003941648437162049
4,5963280.0,906.1089999999999,912.982,11265.1,220.54,12399.8,0.003976723913741709
5,5963060.0,899.488,906.372,11378.0,222.623,12508.1,0.004013469651110935
6,5962850.0,892.915,899.804,11490.1,224.69099999999997,12615.6,0.004048545127690595
7,5962640.0,886.388,893.2760000000001,11601.3,226.74400000000003,12722.4,0.004083620604270255
8,5962430.0,879.9069999999999,886.79,11711.7,228.783,12828.4,0.004118696080850026
9,5962220.0,873.472,880.347,11821.4,230.80599999999998,12933.6,0.004153771557429686
10,5962020.0,867.081,873.945,11930.2,232.815,13038.0,0.004187176773219892
11,5961810.0,860.735,867.585,12038.2,234.80900000000003,13141.6,0.004222252249799552
12,5961610.0,854.432,861.2669999999999,12145.5,236.78900000000002,13244.6,0.004255657465589757
13,5961410.0,848.173,854.9910000000001,12251.9,238.75400000000002,13346.7,0.004289062681379852
14,5961210.0,841.956,848.757,12357.6,240.705,13448.1,0.004322467897170057
15,5961010.0,835.783,842.565,12462.6,242.641,13548.8,0.004355873112960262
16,5960810.0,829.6510000000001,836.414,12566.7,244.56400000000002,13648.7,0.004389278328750468
17,5960620.0,823.562,830.305,12670.1,246.472,13747.9,0.004421013283751107
18,5960420.0,817.515,824.237,12772.8,248.36700000000002,13846.3,0.004454418499541313
19,5960230.0,811.5089999999999,818.21,12874.6,250.248,13944.1,0.004486153454541952
20,5960040.0,805.544,812.2230000000001,12975.8,252.114,14041.1,0.004517888409542592
21,5959850.0,799.62,806.2769999999999,13076.2,253.968,14137.4,0.004549623364543232
22,5959660.0,793.737,800.372,13175.9,255.80700000000002,14233.0,0.004581358319543982
23,5959470.0,787.895,794.5060000000001,13274.8,257.634,14327.9,0.004613093274544622
24,5959290.0,782.0930000000001,788.681,13373.0,259.44599999999997,14422.1,0.004643157968755807
25,5959100.0,776.33,782.895,13470.5,261.246,14515.6,0.004674892923756446
26,5958920.0,770.6080000000001,777.1489999999999,13567.3,263.032,14608.4,0.004704957617967631
27,5958740.0,764.925,771.442,13663.4,264.805,14700.5,0.004735022312178705
28,5958560.0,759.2810000000001,765.7739999999999,13758.7,266.566,14792.0,0.00476508700638989
29,5958380.0,753.676,760.145,13853.4,268.313,14882.8,0.004795151700601075
30,5958200.0,748.11,754.554,13947.4,270.047,14972.9,0.0048252163948122595
31,5958030.0,742.5830000000001,749.002,14040.6,271.769,15062.3,0.004853610828233879
32,5957850.0,737.0939999999999,743.488,14133.2,273.478,15151.1,0.004883675522445063
33,5957680.0,731.643,738.012,14225.1,275.17400000000004,15239.2,0.0049120699558666825
34,5957500.0,726.23,732.574,14316.4,276.858,15326.7,0.004942134650077867
35,5957330.0,720.855,727.173,14406.9,278.53,15413.5,0.004970529083499486
36,5957160.0,715.5169999999999,721.81,14496.8,280.189,15499.7,0.0049989235169212165
37,5956990.0,710.217,716.4839999999999,14586.0,281.836,15585.2,0.005027317950342836
38,5956830.0,704.953,711.194,14674.6,283.471,15670.1,0.005054042122975
39,5956660.0,699.7260000000001,705.941,14762.5,285.093,15754.4,0.005082436556396619
40,5956500.0,694.5360000000001,700.725,14849.8,286.704,15838.0,0.005109160729028783
41,5956330.0,689.382,695.544,14936.4,288.303,15921.1,0.005137555162450402
42,5956170.0,684.2639999999999,690.4,15022.4,289.89,16003.5,0.005164279335082567
43,5956010.0,679.182,685.2919999999999,15107.7,291.465,16085.3,0.005191003507714731
44,5955850.0,674.1360000000001,680.2189999999999,15192.4,293.028,16166.5,0.005217727680346784
45,5955690.0,669.125,675.181,15276.5,294.58,16247.1,0.0052444518529789486
46,5955530.0,664.1489999999999,670.178,15360.0,296.121,16327.1,0.005271176025611113
47,5955370.0,659.2080000000001,665.211,15442.8,297.65,16406.5,0.005297900198243277
48,5955220.0,654.302,660.278,15525.0,299.168,16485.3,0.005322954110085876
49,5955070.0,649.431,655.38,15606.7,300.67400000000004,16563.5,0.005348008021928474
50,5954910.0,644.594,650.516,15687.7,302.17,16641.1,0.0053747321945606386
51,5954760.0,639.7909999999999,645.686,15768.1,303.654,16718.2,0.005399786106403348
52,5954610.0,635.023,640.889,15847.9,305.127,16794.7,0.005424840018245947
53,5954460.0,630.2869999999999,636.127,15927.1,306.589,16870.6,0.005449893930088545
54,5954310.0,625.586,631.398,16005.8,308.041,16945.9,0.005474947841931144
55,5954160.0,620.9169999999999,626.702,16083.8,309.481,17020.7,0.005500001753773853
56,5954020.0,616.2819999999999,622.04,16161.3,310.911,17095.0,0.005523385404826997
57,5953870.0,611.68,617.41,16238.2,312.33,17168.6,0.0055484393166695956
58,5953730.0,607.11,612.812,16314.5,313.73900000000003,17241.8,0.005571822967722739
59,5953580.0,602.573,608.248,16390.2,315.137,17314.3,0.005596876879565338
60,5953440.0,598.068,603.715,16465.4,316.525,17386.4,0.005620260530618482
61,5953300.0,593.595,599.215,16540.0,317.902,17457.9,0.005643644181671625
62,5953160.0,589.154,594.746,16614.1,319.269,17528.8,0.005667027832724769
63,5953020.0,584.745,590.309,16687.6,320.626,17599.3,0.005690411483777802
64,5952890.0,580.367,585.903,16760.6,321.973,17669.2,0.005712124874041491
65,5952750.0,576.02,581.529,16833.0,323.31,17738.5,0.005735508525094635
66,5952610.0,571.705,577.186,16904.9,324.637,17807.4,0.0057588921761476675
67,5952480.0,567.42,572.873,16976.2,325.954,17875.8,0.0057806055664113565
68,5952340.0,563.1659999999999,568.591,17047.1,327.26099999999997,17943.6,0.0058039892174645
69,5952210.0,558.943,564.34,17117.3,328.55800000000005,18010.9,0.005825702607728078
70,5952080.0,554.749,560.119,17187.1,329.845,18077.7,0.005847415997991656
71,5951950.0,550.586,555.928,17256.3,331.12300000000005,18144.0,0.005869129388255345
72,5951820.0,546.453,551.7669999999999,17325.1,332.392,18209.9,0.005890842778518923
73,5951690.0,542.349,547.635,17393.3,333.651,18275.2,0.005912556168782501
74,5951560.0,538.275,543.534,17460.9,334.9,18340.0,0.00593426955904619
75,5951440.0,534.23,539.461,17528.1,336.14,18404.4,0.0059543126885202025
76,5951310.0,530.214,535.4169999999999,17594.8,337.371,18468.2,0.0059760260787838915
77,5951190.0,526.227,531.403,17661.0,338.593,18531.6,0.005996069208258015
78,5951060.0,522.269,527.4169999999999,17726.7,339.805,18594.5,0.006017782598521593
79,5950940.0,518.339,523.46,17791.9,341.00800000000004,18657.0,0.006037825727995716
80,5950820.0,514.438,519.531,17856.6,342.20300000000003,18718.9,0.006057868857469839
81,5950690.0,510.565,515.63,17920.8,343.38800000000003,18780.4,0.006079582247733417
82,5950570.0,506.72,511.75800000000004,17984.5,344.564,18841.5,0.00609962537720754
83,5950460.0,502.903,507.913,18047.8,345.73199999999997,18902.0,0.006117998245892098
84,5950340.0,499.11300000000006,504.096,18110.6,346.89099999999996,18962.2,0.006138041375366221
85,5950220.0,495.351,500.306,18172.9,348.041,19021.8,0.006158084504840344
86,5950100.0,491.616,496.54400000000004,18234.7,349.18199999999996,19081.0,0.0061781276343144675
87,5949990.0,487.908,492.809,18296.1,350.315,19139.8,0.006196500502999025
88,5949870.0,484.227,489.1,18357.0,351.439,19198.1,0.006216543632473148
89,5949760.0,480.57199999999995,485.41900000000004,18417.5,352.555,19256.0,0.006234916501157706
90,5949640.0,476.945,481.764,18477.5,353.663,19313.5,0.006254959630631829
91,5949530.0,473.343,478.135,18537.0,354.76199999999994,19370.5,0.006273332499316497
92,5949420.0,469.76800000000003,474.533,18596.1,355.853,19427.1,0.006291705368001055
93,5949310.0,466.219,470.957,18654.8,356.935,19483.2,0.006310078236685612
94,5949200.0,462.695,467.406,18713.0,358.01,19538.9,0.006328451105370281
95,5949090.0,459.19800000000004,463.88199999999995,18770.8,359.07599999999996,19594.3,0.006346823974054838
96,5948980.0,455.725,460.38300000000004,18828.1,360.134,19649.2,0.006365196842739396
97,5948880.0,452.278,456.909,18885.0,361.185,19703.6,0.006381899450634498
98,5948770.0,448.85699999999997,453.461,18941.5,362.227,19757.7,0.006400272319319167
99,5948660.0,445.46,450.037,18997.5,363.26199999999994,19811.4,0.006418645188003724
100,5948560.0,442.088,446.639,19053.1,364.288,19864.6,0.006435347795898827
101,5948450.0,438.741,443.265,19108.4,365.30699999999996,19917.5,0.0064537206645833844
102,5948350.0,435.418,439.916,19163.1,366.319,19969.9,0.006470423272478487
103,5948250.0,432.119,436.591,19217.5,367.32199999999995,20021.9,0.00648712588037359
104,5948150.0,428.845,433.29,19271.5,368.31800000000004,20073.6,0.0065038284882686925
105,5948050.0,425.594,430.01300000000003,19325.0,369.30699999999996,20124.9,0.006520531096163795
106,5947940.0,422.36800000000005,426.76099999999997,19378.2,370.288,20175.7,0.006538903964848353
107,5947850.0,419.165,423.532,19430.9,371.26199999999994,20226.2,0.00655393631195389
108,5947750.0,415.985,420.32599999999996,19483.3,372.228,20276.3,0.006570638919848992
109,5947650.0,412.829,417.144,19535.2,373.18699999999995,20326.1,0.006587341527744095
110,5947550.0,409.69599999999997,413.986,19586.8,374.139,20375.4,0.006604044135639198
111,5947450.0,406.586,410.85,19638.0,375.083,20424.4,0.0066207467435343
112,5947360.0,403.499,407.73699999999997,19688.8,376.02,20473.0,0.006635779090639837
113,5947260.0,400.435,404.647,19739.2,376.95099999999996,20521.2,0.00665248169853494
114,5947170.0,397.39300000000003,401.58,19789.2,377.874,20569.1,0.006667514045640588
115,5947080.0,394.374,398.535,19838.8,378.79,20616.6,0.006682546392746125
116,5946980.0,391.376,395.51300000000003,19888.1,379.699,20663.7,0.0066992490006412275
117,5946890.0,388.401,392.51300000000003,19936.9,380.601,20710.5,0.0067142813477467644
118,5946800.0,385.44800000000004,389.534,19985.5,381.49699999999996,20757.0,0.006729313694852412
119,5946710.0,382.517,386.57800000000003,20033.6,382.38599999999997,20803.0,0.006744346041957949
120,5946620.0,379.60699999999997,383.64300000000003,20081.4,383.26800000000003,20848.8,0.006759378389063486
121,5946530.0,376.719,380.73,20128.8,384.14300000000003,20894.1,0.006774410736169134
122,5946440.0,373.852,377.839,20175.9,385.01099999999997,20939.2,0.006789443083274671
123,5946350.0,371.006,374.968,20222.6,385.87300000000005,20983.9,0.006804475430380319
124,5946270.0,368.18199999999996,372.119,20268.9,386.72900000000004,21028.2,0.00681783751669629
125,5946180.0,365.37800000000004,369.291,20314.9,387.57800000000003,21072.2,0.006832869863801938
126,5946090.0,362.595,366.483,20360.6,388.42,21115.9,0.006847902210907475
127,5946010.0,359.832,363.69699999999995,20405.9,389.256,21159.2,0.006861264297223557
128,5945920.0,357.09,360.931,20450.8,390.086,21202.3,0.006876296644329205
129,5945840.0,354.369,358.185,20495.4,390.91,21244.9,0.006889658730645176
130,5945750.0,351.667,355.459,20539.7,391.727,21287.3,0.006904691077750824
131,5945670.0,348.986,352.754,20583.6,392.538,21329.3,0.006918053164066906
132,5945590.0,346.324,350.069,20627.2,393.342,21371.1,0.0069314152503829884
133,5945510.0,343.68199999999996,347.403,20670.5,394.14099999999996,21412.5,0.006944777336699071
134,5945430.0,341.06,344.75800000000004,20713.4,394.934,21453.5,0.006958139423015042
135,5945350.0,338.458,342.13199999999995,20756.0,395.72,21494.3,0.006971501509331124
136,5945270.0,335.874,339.525,20798.3,396.501,21534.8,0.006984863595647206
137,5945190.0,333.31,336.93699999999995,20840.3,397.275,21574.9,0.006998225681963288
138,5945110.0,330.765,334.369,20881.9,398.04400000000004,21614.8,0.00701158776827937
139,5945030.0,328.23900000000003,331.82,20923.3,398.80699999999996,21654.3,0.0070249498545954525
140,5944950.0,325.732,329.29,20964.3,399.564,21693.5,0.007038311940911535
141,5944880.0,323.243,326.778,21005.0,400.315,21732.5,0.007050003766438051
142,5944800.0,320.77299999999997,324.286,21045.4,401.06,21771.1,0.007063365852754133
143,5944730.0,318.32099999999997,321.811,21085.5,401.8,21809.4,0.007075057678280761
144,5944650.0,315.888,319.355,21125.2,402.534,21847.5,0.007088419764596732
145,5944580.0,313.473,316.918,21164.7,403.26300000000003,21885.3,0.007100111590123359
146,5944500.0,311.075,314.498,21203.9,403.986,21922.7,0.007113473676439441
147,5944430.0,308.69599999999997,312.096,21242.7,404.70300000000003,21959.9,0.007125165501965958
148,5944360.0,306.335,309.71299999999997,21281.3,405.415,21996.8,0.007136857327492585
149,5944280.0,303.991,307.347,21319.6,406.12199999999996,22033.4,0.007150219413808667
150,5944210.0,301.664,304.999,21357.6,406.82300000000004,22069.8,0.007161911239335184
151,5944140.0,299.355,302.668,21395.3,407.519,22105.8,0.0071736030648617
152,5944070.0,297.063,300.35400000000004,21432.7,408.21,22141.6,0.007185294890388327
153,5944000.0,294.789,298.058,21469.8,408.895,22177.1,0.007196986715914844
154,5943930.0,292.531,295.779,21506.7,409.575,22212.4,0.007208678541441471
155,5943860.0,290.291,293.517,21543.2,410.249,22247.3,0.0072203703669679875
156,5943790.0,288.067,291.272,21579.5,410.91900000000004,22282.0,0.007232062192494504
157,5943730.0,285.86,289.04400000000004,21615.5,411.584,22316.5,0.0072420837572315655
158,5943660.0,283.66900000000004,286.832,21651.2,412.24300000000005,22350.6,0.007253775582758193
159,5943590.0,281.495,284.637,21686.7,412.897,22384.5,0.007265467408284709
