,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,1,1
7,0,0,1,1
8,0,0,1,1
9,0,0,1,1
10,0,0,1,1
11,0,0,1,1
12,0,0,1,1
13,0,0,1,1
14,0,0,1,1
15,0,0,1,1
16,0,0,1,1
17,0,0,1,1
18,0,0,1,1
19,0,0,1,1
20,0,0,1,1
21,0,0,1,1
22,0,0,1,1
23,0,0,1,1
24,0,0,1,1
25,0,0,1,1
26,0,0,79,79
27,0,0,79,79
28,0,0,79,79
29,0,0,79,79
30,0,0,79,79
31,0,0,79,79
32,0,0,79,79
33,20,17,183,220
34,20,17,204,241
35,22,18,225,265
36,22,19,248,289
37,23,19,282,324
38,24,20,318,362
39,29,20,321,370
40,60,22,335,417
41,79,22,339,440
42,130,23,324,477
43,134,25,325,484
44,135,27,347,509
45,137,29,370,536
46,159,32,362,553
47,173,32,366,571
48,184,32,383,599
49,190,32,403,625
50,190,33,426,649
51,200,34,424,658
52,214,34,484,732
53,223,36,492,751
54,224,36,539,799
55,256,37,519,812
56,274,38,521,833
57,289,38,529,856
58,309,38,564,911
59,330,38,572,940
60,352,38,592,982
61,426,38,565,1029
62,438,38,631,1107
63,443,38,675,1156
64,453,39,722,1214
65,467,42,755,1264
66,478,46,802,1326
67,495,47,840,1382
68,510,49,860,1419
69,522,50,885,1457
70,534,53,908,1495
71,543,55,926,1524
72,551,57,960,1568
73,561,58,1001,1620
74,594,60,1028,1682
75,595,61,1066,1722
76,780,63,915,1758
77,986,65,747,1798
78,1249,66,555,1870
79,1387,68,472,1927
80,1399,70,515,1984
81,1405,72,563,2040
82,1493,75,517,2085
83,1500,78,567,2145
84,1509,82,603,2194
85,1577,84,562,2223
86,1634,85,546,2265
87,1668,89,618,2375
88,1701,91,689,2481
89,1756,92,711,2559
90,1793,95,766,2654
91,1830,97,765,2692
92,1875,99,796,2770
93,1943,101,782,2826
94,1974,104,850,2928
95,2058,107,845,3010
96,2170,109,842,3121
97,2267,109,842,3218
98,2341,109,842,3292
99,2415,114,869,3398
100,2462,117,986,3565
101,2527,121,1047,3695
102,2581,125,1119,3825
103,2679,127,1146,3952
104,2744,129,1247,4120
105,2848,134,1257,4239
106,2925,137,1328,4390
107,2980,138,1455,4573
108,3070,141,1544,4755
109,3314,142,1459,4915
110,3369,145,1592,5106
111,3525,152,1642,5319
112,3687,154,1698,5539
113,3818,156,1790,5764
114,4048,159,1860,6067
115,4228,162,1866,6256
116,4418,169,1875,6462
117,4564,178,2011,6753
118,4768,180,1979,6927
119,4992,184,1896,7072
120,5204,188,1938,7330
121,5437,197,1956,7590
122,5664,199,1887,7750
123,5839,205,1968,8012
124,6081,212,1964,8257
125,6259,215,1968,8442
126,6394,221,2017,8632
127,6623,230,2072,8925
128,6837,232,2051,9120
129,6955,240,2138,9333
130,7111,243,2196,9550
131,7355,249,2131,9735
132,7624,253,2067,9944
133,7874,258,1968,10100
134,8083,261,2028,10372
135,8334,273,1994,10601
136,8521,281,2017,10819
137,8711,285,2013,11009
138,8910,294,1984,11188
139,9086,296,1999,11381
140,9282,305,1958,11545
141,9484,313,1920,11717
142,9764,316,1797,11877
143,9965,318,1757,12040
144,10184,324,1685,12193
145,10361,329,1662,12352
146,10590,338,1528,12456
147,10855,340,1395,12590
148,11016,347,1409,12772
149,11152,352,1426,12930
150,11336,356,1330,13022
151,11518,363,1290,13171
152,11698,366,1274,13338
153,11839,369,1234,13442
154,11963,374,1220,13557
155,12217,385,1105,13707
156,12365,391,1089,13845
157,12480,396,1089,13965
158,12644,402,1041,14087
159,12769,412,1025,14206
160,12877,420,1019,14316
161,12987,426,1009,14422
162,13147,428,992,14567
163,13408,438,880,14726
164,13578,445,849,14872
165,13701,449,895,15045
166,13823,456,938,15217
167,13895,462,1005,15362
168,14032,468,996,15496
169,14168,476,1044,15688
170,14273,479,1120,15872
171,14420,489,1134,16043
172,14567,491,1172,16230
173,14700,497,1251,16448
174,14866,504,1288,16658
175,15046,509,1276,16831
176,15157,518,1339,17014
177,15309,525,1362,17196
178,15428,529,1434,17391
179,15609,534,1418,17561
180,15806,543,1401,17750
181,16005,552,1378,17935
182,16178,556,1365,18099
183,16329,563,1405,18297
184,16329,563,1405,18297
