,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,5379400.0,2935.91,1852.79,21107.2,697.317,23659.6,0.010334875273568023
1,5378840.0,2915.66,1862.75,21322.6,705.944,23893.6,0.010437900233572273
2,5378290.0,2897.88,1870.15,21539.1,714.6110000000001,24126.2,0.010539085462147879
3,5377740.0,2882.12,1875.45,21756.3,723.307,24357.3,0.010640270690723486
4,5377190.0,2868.02,1879.02,21974.0,732.0239999999999,24587.3,0.010741455919299092
5,5376640.0,2855.26,1881.18,22192.0,740.755,24816.3,0.010842641147874699
6,5376100.0,2843.61,1882.17,22410.3,749.492,25044.2,0.010941986645021662
7,5375550.0,2832.87,1882.21,22628.5,758.232,25271.3,0.011043171873597157
8,5375010.0,2822.85,1881.46,22846.8,766.97,25497.5,0.01114251737074412
9,5374460.0,2813.44,1880.06,23064.9,775.703,25722.9,0.011243702599319727
10,5373920.0,2804.52,1878.14,23282.8,784.429,25947.6,0.01134304809646669
11,5373380.0,2796.0,1875.77,23500.5,793.1439999999999,26171.6,0.011442393593613653
12,5372840.0,2787.8,1873.05,23717.9,801.8480000000001,26395.0,0.011541739090760617
13,5372310.0,2779.87,1870.02,23934.9,810.538,26617.7,0.011639244856478825
14,5371770.0,2772.14,1866.75,24151.6,819.2130000000001,26839.8,0.011738590353625789
15,5371230.0,2764.59,1863.28,24367.9,827.873,27061.2,0.011837935850772752
16,5370700.0,2757.18,1859.64,24583.7,836.5169999999999,27282.1,0.011935441616491071
17,5370170.0,2749.88,1855.85,24799.2,845.143,27502.4,0.012032947382209391
18,5369640.0,2742.66,1851.95,25014.2,853.7510000000001,27722.1,0.0121304531479276
19,5369110.0,2735.52,1847.95,25228.7,862.341,27941.2,0.01222795891364592
20,5368580.0,2728.43,1843.87,25442.8,870.9119999999999,28159.8,0.01232546467936424
21,5368050.0,2721.38,1839.72,25656.4,879.4639999999999,28377.7,0.01242297044508256
22,5367530.0,2714.37,1835.52,25869.5,887.997,28595.2,0.012518636479372236
23,5367000.0,2707.38,1831.26,26082.1,896.51,28812.0,0.012616142245090445
24,5366480.0,2700.41,1826.96,26294.2,905.003,29028.3,0.012711808279380121
25,5365960.0,2693.45,1822.62,26505.8,913.4760000000001,29244.1,0.012807474313669798
26,5365440.0,2686.5,1818.26,26717.0,921.929,29459.3,0.012903140347959474
27,5364920.0,2679.55,1813.86,26927.6,930.362,29673.9,0.01299880638224904
28,5364400.0,2672.61,1809.44,27137.7,938.7739999999999,29888.0,0.013094472416538716
29,5363890.0,2665.66,1805.0,27347.2,947.166,30101.5,0.01318829871939975
30,5363370.0,2658.72,1800.54,27556.3,955.5360000000001,30314.5,0.013283964753689426
31,5362860.0,2651.77,1796.07,27764.9,963.887,30526.9,0.013377791056550348
32,5362340.0,2644.81,1791.58,27972.9,972.216,30738.8,0.013473457090840024
33,5361830.0,2637.85,1787.07,28180.4,980.5239999999999,30950.1,0.013567283393701057
34,5361320.0,2630.88,1782.55,28387.4,988.812,31160.8,0.01366110969656209
