,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,2,2
4,0,0,3,3
5,0,0,6,6
6,0,0,6,6
7,0,0,8,8
8,0,0,8,8
9,0,0,9,9
10,0,0,9,9
11,0,0,9,9
12,0,0,10,10
13,0,0,11,11
14,0,0,11,11
15,0,0,11,11
16,0,0,11,11
17,0,0,11,11
18,0,0,11,11
19,0,0,11,11
20,0,0,11,11
21,0,0,11,11
22,0,0,11,11
23,0,0,11,11
24,0,0,11,11
25,0,0,11,11
26,0,0,11,11
27,0,0,11,11
28,0,0,11,11
29,0,0,11,11
30,0,0,11,11
31,0,0,11,11
32,0,0,11,11
33,0,0,11,11
34,0,0,11,11
35,0,0,11,11
36,0,0,11,11
37,0,0,11,11
38,0,0,11,11
39,0,0,11,11
40,0,0,184,184
41,0,0,184,184
42,0,0,184,184
43,0,0,184,184
44,0,0,184,184
45,0,0,184,184
46,0,0,184,184
47,95,87,453,635
48,109,87,463,659
49,136,92,472,700
50,136,94,524,754
51,149,99,535,783
52,167,107,572,846
53,199,116,596,911
54,208,126,614,948
55,252,129,621,1002
56,292,135,614,1041
57,341,140,645,1126
58,386,146,625,1157
59,426,151,623,1200
60,444,154,667,1265
61,478,160,673,1311
62,501,165,706,1372
63,525,169,739,1433
64,538,169,795,1502
65,568,172,809,1549
66,576,176,818,1570
67,608,178,827,1613
68,652,180,833,1665
69,683,184,826,1693
70,715,186,850,1751
71,760,191,857,1808
72,787,194,921,1902
73,829,196,948,1973
74,871,202,980,2053
75,902,209,1014,2125
76,925,214,1040,2179
77,970,222,1103,2295
78,970,229,1195,2394
79,996,234,1258,2488
80,1038,238,1313,2589
81,1073,247,1364,2684
82,1116,254,1388,2758
83,1155,260,1471,2886
84,1205,265,1548,3018
85,1221,275,1632,3128
86,1303,279,1663,3245
87,1323,283,1750,3356
88,1381,287,1846,3514
89,1412,293,1967,3672
90,1486,297,1993,3776
91,1548,301,2097,3946
92,1598,308,2183,4089
93,1780,316,2173,4269
94,1866,322,2212,4400
95,2166,323,2038,4527
96,2367,329,1957,4653
97,2394,336,2004,4734
98,2599,339,1877,4815
99,2732,345,1893,4970
100,2928,351,1854,5133
101,3014,354,1893,5261
102,3123,359,1920,5402
103,3270,366,1937,5573
104,3609,372,1772,5753
105,3753,379,1852,5984
106,3878,386,1958,6222
107,4040,394,2006,6440
108,4142,402,2078,6622
109,4307,410,2147,6864
110,4402,418,2288,7108
111,4546,428,2415,7389
112,4690,438,2552,7680
113,4788,444,2814,8046
114,5001,457,2910,8368
115,5205,470,3067,8742
116,5388,486,3280,9154
117,5541,499,3568,9608
118,5722,509,3795,10026
119,5921,516,4113,10550
120,6146,525,4304,10975
121,6422,537,4512,11471
122,6713,549,4772,12034
123,6966,561,5155,12682
124,7493,576,5275,13344
125,7888,592,5509,13989
126,8408,608,5624,14640
127,9022,623,5687,15332
128,9577,642,5908,16127
129,10183,658,5985,16826
130,10836,669,6048,17553
131,11349,686,6166,18201
132,11891,696,6166,18753
133,12492,706,6333,19531
134,13169,723,6327,20219
135,13808,739,6422,20969
136,14506,760,6373,21639
137,15089,779,6485,22353
138,15666,799,6597,23062
139,16197,820,6801,23818
140,16966,835,6736,24537
141,17561,860,6781,25202
142,18109,887,6886,25882
143,18706,907,6944,26557
144,19334,927,6980,27241
145,19867,948,7041,27856
146,20713,962,6799,28474
147,21590,980,6615,29185
148,22170,999,6635,29804
149,22857,1015,6598,30470
150,23492,1036,6557,31085
151,24054,1057,6645,31756
152,24732,1070,6517,32319
153,25350,1093,6424,32867
154,25986,1110,6371,33467
155,26591,1121,6421,34133
156,27346,1132,6238,34716
157,27910,1154,6114,35178
158,28618,1166,5910,35694
159,29193,1174,5890,36257
160,29844,1187,5691,36722
161,30472,1203,5588,37263
162,31069,1222,5526,37817
163,31839,1238,5311,38388
164,32432,1249,5134,38815
165,32992,1261,5032,39285
166,33464,1280,4969,39713
167,34158,1290,4709,40157
168,34717,1301,4690,40708
169,35334,1318,4449,41101
170,36062,1333,4178,41573
171,36535,1350,4110,41995
172,37012,1368,4163,42543
173,37414,1376,4294,43084
174,37962,1392,4188,43542
175,38444,1411,4067,43922
176,38965,1428,4083,44476
177,39426,1433,4098,44957
178,39909,1449,4142,45500
179,40435,1461,4151,46047
180,40955,1473,4160,46588
181,41436,1489,4216,47141
182,41819,1500,4309,47628
183,42326,1515,4261,48102
184,42802,1537,4238,48577
185,43265,1551,4254,49070
186,43849,1566,4198,49613
187,44284,1581,4262,50127
188,44913,1600,4142,50655
189,45262,1607,4320,51189
190,45751,1619,4479,51849
191,46173,1633,4650,52456
192,46689,1639,4820,53148
193,47239,1652,4925,53816
194,47818,1669,4944,54431
195,48290,1684,5075,55049
196,48898,1699,5143,55740
197,49429,1710,5273,56412
198,49429,1710,5273,56412
