,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4429210.0,3.4378900000000003,2.64954,0.0383659,0.040079699999999996,2.7233099999999997,1.1288682080223822e-06
1,4429210.0,2.83118,3.87846,0.10606900000000001,0.11080699999999999,4.088,1.1288682080223822e-06
2,4429210.0,2.51572,4.862369999999999,0.196367,0.20513800000000001,5.25514,1.1288682080223822e-06
3,4429210.0,2.38915,5.71315,0.305436,0.319079,6.32838,1.1288682080223822e-06
4,4429200.0,2.38788,6.50296,0.431321,0.450588,7.37558,3.3866046240671466e-06
5,4429200.0,2.47268,7.2792,0.573284,0.598891,8.44245,3.3866046240671466e-06
6,4429200.0,2.6197,8.07395,0.73139,0.764059,9.56113,3.3866046240671466e-06
7,4429200.0,2.8147599999999997,8.90996,0.906267,0.9467469999999999,10.7556,3.3866046240671466e-06
8,4429200.0,3.04983,9.804310000000001,1.09895,1.1480299999999999,12.0449,3.3866046240671466e-06
9,4429200.0,3.32085,10.7709,1.3107799999999998,1.36933,13.4458,3.3866046240671466e-06
10,4429200.0,3.6263,11.8217,1.5433700000000001,1.6123100000000001,14.9736,3.3866046240671466e-06
11,4429190.0,3.9663699999999995,12.9683,1.7985799999999998,1.8789200000000001,16.6434,5.644341040111911e-06
12,4429190.0,4.34245,14.2217,2.0785,2.1713400000000003,18.4708,5.644341040111911e-06
13,4429190.0,4.7567699999999995,15.5935,2.38545,2.492,20.4721,5.644341040111911e-06
14,4429190.0,5.21225,17.0961,2.72198,2.84357,22.6647,5.644341040111911e-06
15,4429180.0,5.71235,18.7423,3.0909299999999997,3.2289999999999996,25.0675,7.902077456156675e-06
16,4429180.0,6.261080000000001,20.5464,3.4954,3.65153,27.701,7.902077456156675e-06
17,4429180.0,6.86291,22.5237,3.9388,4.11474,30.5876,7.902077456156675e-06
18,4429170.0,7.52285,24.691,4.424869999999999,4.62252,33.7517,1.015981387220144e-05
19,4429170.0,8.2464,27.0667,4.95771,5.1791599999999995,37.2201,1.015981387220144e-05
20,4429160.0,9.039639999999999,29.671,5.54181,5.78935,41.0221,1.2417550288246204e-05
21,4429160.0,9.90925,32.5257,6.182119999999999,6.45826,45.1898,1.2417550288246204e-05
22,4429150.0,10.8625,35.655,6.88402,7.19152,49.7585,1.4675286704290968e-05
23,4429150.0,11.9076,39.0853,7.653460000000001,7.9953199999999995,54.7667,1.4675286704290968e-05
24,4429140.0,13.0531,42.8457,8.49693,8.87647,60.2567,1.6933023120335733e-05
25,4429130.0,14.3089,46.9678,9.42154,9.84238,66.2749,1.9190759536380497e-05
26,4429120.0,15.6855,51.4865,10.4351,10.9012,72.8721,2.144849595242526e-05
27,4429110.0,17.1946,56.44,11.5462,12.0619,80.104,2.3706232368470026e-05
28,4429100.0,18.8488,61.8699,12.7642,13.3343,88.0316,2.596396878451479e-05
29,4429090.0,20.6621,67.8223,14.0993,14.7291,96.7219,2.8221705200559555e-05
30,4429080.0,22.6499,74.3473,15.562999999999999,16.2581,106.24799999999999,3.047944161660432e-05
31,4429070.0,24.8289,81.5,17.1674,17.9342,116.691,3.2737178032649084e-05
32,4429050.0,27.2176,89.3408,18.9262,19.7715,128.138,3.725265086473861e-05
33,4429040.0,29.836,97.9359,20.8541,21.7856,140.687,3.951038728078338e-05
34,4429020.0,32.7062,107.35799999999999,22.9676,23.9935,154.44299999999998,4.4025860112872905e-05
35,4429000.0,35.8526,117.686,25.2844,26.4138,169.52200000000002,4.8541332944962434e-05
36,4428980.0,39.3016,129.00799999999998,27.8241,29.0669,186.05200000000002,5.305680577705196e-05
37,4428960.0,43.0824,141.41899999999998,30.6081,31.9753,204.172,5.757227860914149e-05
38,4428930.0,47.2269,155.024,33.6599,35.1634,224.03599999999997,6.434548785727578e-05
39,4428910.0,51.7699,169.938,37.0053,38.6583,245.81,6.886096068947634e-05
40,4428880.0,56.75,186.28599999999997,40.6726,42.4894,269.678,7.563416993761063e-05
41,4428840.0,62.208999999999996,204.207,44.6927,46.68899999999999,295.843,8.466511560178969e-05
42,4428810.0,68.193,223.852,49.0995,51.2926,324.524,9.143832484992398e-05
43,4428770.0,74.7525,245.386,53.9302,56.3391,355.965,0.00010046927051410304
44,4428720.0,81.9428,268.992,59.2256,61.8711,390.42900000000003,0.00011175795259432686
45,4428680.0,89.8246,294.868,65.0305,67.9352,428.209,0.00012078889825850592
46,4428630.0,98.4643,323.232,71.3937,74.5827,469.62199999999996,0.00013207758033872974
47,4428570.0,107.935,354.325,78.3691,81.8696,515.019,0.00014562399883499832
48,4428510.0,118.316,388.408,86.0154,89.8575,564.7819999999999,0.0001591704173312669
49,4428440.0,129.695,425.769,94.3972,98.6137,619.331,0.00017497457224358026
50,4428390.0,116.15100000000001,460.89300000000003,103.545,108.17,673.0989999999999,0.00018626325432380408
51,4428350.0,108.94,490.19300000000004,113.352,118.415,722.42,0.00019529419998798314
52,4428300.0,105.757,516.107,123.726,129.252,769.53,0.00020658288206831799
53,4428260.0,105.15299999999999,540.174,134.612,140.625,815.8539999999999,0.00021561382773249704
54,4428210.0,106.22200000000001,563.372,145.985,152.505,862.309,0.00022690250981272087
55,4428160.0,108.396,586.326,157.832,164.882,909.497,0.0002381911918929447
56,4428100.0,111.32,609.441,170.15400000000002,177.75400000000002,957.818,0.0002517376103892133
57,4428050.0,114.773,632.981,182.956,191.128,1007.55,0.0002630262924694371
58,4427990.0,116.86399999999999,656.727,207.942,193.31599999999997,1058.48,0.0002765727109657057
59,4427930.0,119.741,680.574,233.85,195.584,1110.52,0.00029011912946197427
60,4427870.0,123.15799999999999,704.799,260.689,197.93400000000003,1163.94,0.00030366554795824285
61,4427800.0,126.96700000000001,729.585,288.47700000000003,200.36700000000002,1218.97,0.0003194697028705562
62,4427740.0,131.076,755.056,317.238,202.885,1275.74,0.0003330161213668248
63,4427670.0,135.431,781.301,347.0,205.49099999999999,1334.37,0.00034882027627924916
64,4427600.0,140.0,808.3860000000001,377.796,208.188,1394.97,0.0003646244311915625
65,4427530.0,144.768,836.365,409.659,210.97799999999998,1457.62,0.00038042858610387587
66,4427450.0,149.724,865.284,442.624,213.864,1522.41,0.000398490477432234
67,4427370.0,154.866,895.186,476.728,216.85,1589.43,0.0004165523687605921
68,4427290.0,160.195,926.1089999999999,512.01,219.93900000000002,1658.74,0.0004346142600889502
69,4427210.0,165.713,958.092,548.511,223.135,1730.45,0.0004526761514173083
70,4427120.0,171.425,991.175,586.273,226.442,1804.62,0.00047299577916182223
