,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,4380900.0,857.05,5404.65,33532.3,1322.34,40266.6,0.010908253494129272
1,4380430.0,835.252,5275.89,34062.8,1335.25,40681.1,0.011014367105683487
2,4379960.0,814.47,5149.67,34580.6,1347.86,41085.2,0.011120480717237702
3,4379510.0,794.459,5026.18,35086.0,1360.16,41479.3,0.011222078855959827
4,4379060.0,775.078,4905.46,35579.2,1372.17,41863.8,0.011323676994681953
5,4378630.0,756.245,4787.53,36060.6,1383.89,42238.9,0.011420759660571878
6,4378210.0,737.91,4672.34,36530.5,1395.33,42604.9,0.011515584590045869
7,4377800.0,720.039,4559.87,36989.0,1406.5,42962.0,0.011608151783103815
8,4377400.0,702.612,4450.06,37436.5,1417.39,43310.5,0.011698461239745606
9,4377000.0,685.61,4342.86,37873.2,1428.03,43650.6,0.011788770696387507
10,4376620.0,669.02,4238.2,38299.4,1438.4,43982.4,0.01187456468019732
11,4376250.0,652.831,4136.03,38715.3,1448.53,44306.2,0.011958100927590976
12,4375880.0,637.0319999999999,4036.3,39121.2,1458.41,44622.2,0.012041637174984743
13,4375530.0,621.613,3938.95,39517.3,1468.05,44930.5,0.01212065794954631
14,4375180.0,606.565,3843.92,39903.8,1477.47,45231.3,0.012199678724107987
15,4374840.0,591.879,3751.15,40281.1,1486.65,45524.9,0.01227644176225362
16,4374510.0,577.547,3660.61,40649.2,1495.61,45811.4,0.012350947063983098
17,4374190.0,563.559,3572.22,41008.4,1504.36,46090.9,0.012423194629296641
18,4373880.0,549.9069999999999,3485.95,41359.0,1512.89,46363.6,0.012493184458194029
19,4373570.0,536.585,3401.75,41701.0,1521.22,46629.8,0.012563174287091528
20,4373270.0,523.5830000000001,3319.56,42034.9,1529.35,46889.5,0.01263090637957287
21,4372980.0,510.894,3239.34,42360.6,1537.28,47142.9,0.01269638073563828
22,4372690.0,498.51099999999997,3161.04,42678.5,1545.02,47390.1,0.012761855091703578
23,4372410.0,486.426,3084.61,42988.7,1552.57,47631.4,0.012825071711352942
24,4372140.0,474.63300000000004,3010.02,43291.4,1559.94,47866.8,0.01288603059458615
25,4371880.0,463.124,2937.22,43586.8,1567.13,48096.5,0.012944731741403426
26,4371620.0,451.89300000000003,2866.17,43875.0,1574.15,48320.7,0.01300343288822059
27,4371370.0,440.93199999999996,2796.82,44156.3,1581.0,48539.4,0.01305987629862182
28,4371120.0,430.236,2729.13,44430.7,1587.68,48752.8,0.013116319709022939
29,4370880.0,419.798,2663.08,44698.5,1594.2,48961.0,0.013170505383008013
30,4370650.0,409.61300000000006,2598.61,44959.9,1600.57,49164.2,0.013222433320577154
31,4370420.0,399.673,2535.69,45214.9,1606.77,49362.4,0.013274361258146183
32,4370200.0,389.973,2474.28,45463.7,1612.83,49555.8,0.013324031459299168
33,4369980.0,380.50800000000004,2414.35,45706.5,1618.74,49744.6,0.013373701660452264
34,4369770.0,371.27099999999996,2355.86,45943.4,1624.51,49928.7,0.013421114125189204
35,4369560.0,362.25800000000004,2298.78,46174.6,1630.14,50108.4,0.013468526589926255
36,4369360.0,353.462,2243.08,46400.2,1635.63,50283.7,0.01351368131824715
37,4369160.0,344.879,2188.71,46620.3,1640.99,50454.8,0.013558836046568046
38,4368970.0,336.504,2135.66,46835.0,1646.22,50621.7,0.013601733038473007
39,4368780.0,328.332,2083.88,47044.6,1651.32,50784.6,0.013644630030377858
40,4368600.0,320.357,2033.36,47249.1,1656.3,50943.5,0.013685269285866664
41,4368420.0,312.575,1984.05,47448.6,1661.16,51098.5,0.01372590854135547
42,4368240.0,304.981,1935.93,47643.3,1665.9,51249.8,0.013766547796844386
43,4368070.0,297.572,1888.97,47833.3,1670.53,51397.4,0.013804929315917147
44,4367910.0,290.341,1843.15,48018.7,1675.04,51541.4,0.013841053098573863
45,4367740.0,283.286,1798.43,48199.5,1679.44,51681.9,0.013879434617646735
46,4367590.0,276.402,1754.79,48376.0,1683.74,51819.0,0.013913300663887407
47,4367430.0,269.684,1712.21,48548.2,1687.93,51952.8,0.013949424446544123
48,4367280.0,263.129,1670.65,48716.2,1692.02,52083.3,0.013983290492784795
49,4367140.0,256.733,1630.1,48880.1,1696.01,52210.6,0.014014898802609532
50,4366990.0,250.49200000000002,1590.53,49040.1,1699.91,52334.9,0.014048764848850204
51,4366850.0,244.403,1551.91,49196.2,1703.71,52456.1,0.01408037315867483
52,4366720.0,238.46099999999998,1514.23,49348.5,1707.42,52574.4,0.014109723732083412
53,4366580.0,232.66299999999998,1477.46,49497.0,1711.03,52689.8,0.01414133204190815
54,4366450.0,227.005,1441.58,49642.0,1714.56,52802.4,0.014170682615316732
55,4366330.0,221.485,1406.57,49783.5,1718.01,52912.3,0.01419777545230927
56,4366200.0,216.09900000000002,1372.4,49921.5,1721.37,53019.4,0.014227126025717851
57,4366080.0,210.843,1339.06,50056.2,1724.65,53124.0,0.014254218862710388
58,4365960.0,205.715,1306.53,50187.6,1727.85,53226.1,0.014281311699703036
59,4365850.0,200.71200000000002,1274.79,50315.8,1730.97,53325.6,0.014306146800279529
60,4365740.0,195.829,1243.81,50440.9,1734.01,53422.8,0.014330981900856021
61,4365630.0,191.06599999999997,1213.59,50562.9,1736.98,53517.5,0.014355817001432514
62,4365520.0,186.418,1184.09,50682.0,1739.88,53610.0,0.014380652102009006
63,4365420.0,181.882,1155.32,50798.2,1742.71,53700.2,0.014403229466169565
64,4365320.0,177.457,1127.23,50911.5,1745.47,53788.2,0.014425806830330012
65,4365220.0,173.139,1099.83,51022.2,1748.17,53874.1,0.01444838419449046
66,4365120.0,168.92700000000002,1073.1,51130.1,1750.79,53957.9,0.014470961558650908
67,4365030.0,164.81599999999997,1047.01,51235.4,1753.36,54039.7,0.01449128118639531
68,4364940.0,160.805,1021.55,51338.1,1755.86,54119.4,0.014511600814139713
69,4364850.0,156.892,996.7139999999999,51438.3,1758.3,54197.3,0.014531920441884116
70,4364760.0,153.07399999999998,972.477,51536.1,1760.68,54273.2,0.01455224006962863
71,4364670.0,149.34799999999998,948.829,51631.6,1763.0,54347.3,0.014572559697373033
72,4364590.0,145.713,925.7539999999999,51724.7,1765.27,54419.5,0.014590621588701391
73,4364510.0,142.167,903.2389999999999,51815.5,1767.48,54490.1,0.01460868348002975
74,4364430.0,138.70600000000002,881.27,51904.1,1769.64,54558.9,0.014626745371358107
75,4364350.0,135.33,859.834,51990.6,1771.74,54626.0,0.014644807262686466
76,4364280.0,132.035,838.918,52075.0,1773.8,54691.5,0.014660611417598779
77,4364200.0,128.821,818.51,52157.3,1775.8,54755.4,0.014678673308927248
78,4364130.0,125.685,798.5980000000001,52237.6,1777.76,54817.7,0.014694477463839561
79,4364060.0,122.625,779.168,52316.0,1779.67,54878.6,0.014710281618751875
80,4363990.0,119.64,760.211,52392.4,1781.53,54937.9,0.014726085773664188
81,4363920.0,116.727,741.7139999999999,52467.0,1783.34,54995.8,0.014741889928576501
82,4363860.0,113.885,723.666,52539.8,1785.12,55052.3,0.01475543634707277
83,4363800.0,111.11200000000001,706.056,52610.8,1786.85,55107.4,0.014768982765569039
84,4363730.0,108.406,688.8739999999999,52680.1,1788.53,55161.2,0.014784786920481352
85,4363670.0,105.76700000000001,672.11,52747.7,1790.18,55213.6,0.01479833333897762
86,4363610.0,103.191,655.753,52813.7,1791.78,55264.8,0.014811879757474
87,4363560.0,100.678,639.793,52878.0,1793.35,55314.8,0.014823168439554224
88,4363500.0,98.2264,624.221,52940.8,1794.88,55363.5,0.014836714858050493
89,4363450.0,95.8343,609.0269999999999,53002.0,1796.37,55411.0,0.014848003540130716
90,4363390.0,93.5004,594.202,53061.8,1797.82,55457.4,0.014861549958626985
91,4363340.0,91.2232,579.738,53120.1,1799.24,55502.6,0.014872838640707209
92,4363290.0,89.0015,565.626,53177.0,1800.63,55546.8,0.014884127322787433
93,4363240.0,86.8338,551.856,53232.5,1801.98,55589.9,0.014895416004867656
94,4363190.0,84.7188,538.4209999999999,53286.6,1803.3,55631.9,0.01490670468694788
95,4363140.0,82.6554,525.313,53339.5,1804.59,55672.9,0.014917993369028104
