,Recovered,Deceased,Infected,I_c
0,0,0,5,5
1,0,0,5,5
2,0,0,5,5
3,0,0,5,5
4,0,0,5,5
5,0,0,5,5
6,0,0,5,5
7,0,0,5,5
8,0,0,5,5
9,0,0,5,5
10,0,0,5,5
11,0,0,5,5
12,0,0,5,5
13,0,0,5,5
14,0,0,5,5
15,0,0,5,5
16,0,0,5,5
17,0,0,5,5
18,0,0,5,5
19,0,0,5,5
20,0,0,5,5
21,0,0,5,5
22,0,0,5,5
23,0,0,5,5
24,0,0,5,5
25,0,0,5,5
26,0,0,5,5
27,0,0,5,5
28,0,0,5,5
29,0,0,5,5
30,0,0,6,6
31,0,0,6,6
32,0,0,6,6
33,0,0,6,6
34,0,0,6,6
35,0,0,6,6
36,0,0,6,6
37,6,0,2,8
38,6,0,2,8
39,6,0,2,8
40,6,0,2,8
41,8,0,0,8
42,8,0,1,9
43,8,0,1,9
44,8,0,1,9
45,8,0,1,9
46,8,0,1,9
47,8,0,2,10
48,8,0,4,12
49,8,0,4,12
50,8,0,4,12
51,8,0,4,12
52,8,0,6,14
53,8,0,8,16
54,8,0,9,17
55,9,0,8,17
56,9,0,10,19
57,9,0,16,25
58,9,0,17,26
59,9,0,18,27
60,9,0,21,30
61,9,0,27,36
62,9,0,42,51
63,13,1,55,69
64,14,1,58,73
65,14,1,76,91
66,14,1,77,92
67,15,1,83,99
68,21,1,81,103
69,22,1,87,110
70,24,1,93,118
71,38,2,90,130
72,45,2,87,134
73,59,2,73,134
74,68,2,64,134
75,74,2,73,149
76,75,2,85,162
77,77,3,96,176
78,82,3,101,186
79,82,4,108,194
80,90,4,106,200
81,104,4,100,208
82,115,5,96,216
83,117,5,111,233
84,120,5,120,245
85,126,5,130,261
86,131,5,130,266
87,155,5,108,268
88,158,5,109,272
89,172,5,100,277
90,186,5,94,285
91,196,5,94,295
92,201,5,89,295
93,206,5,91,302
94,220,5,85,310
95,237,5,77,319
96,242,5,75,322
97,244,5,76,325
98,250,5,73,328
99,261,5,73,339
100,282,5,59,346
101,285,8,61,354
102,293,8,74,375
103,298,8,79,385
104,306,8,72,386
105,309,8,79,396
106,319,8,82,409
107,322,8,96,426
108,331,8,97,436
109,337,8,100,445
110,342,8,105,455
111,362,8,102,472
112,370,9,117,496
113,379,9,156,544
114,388,9,157,554
115,408,9,183,600
116,421,9,212,642
117,432,9,236,677
118,449,9,248,706
119,471,9,241,721
120,518,9,217,744
121,528,9,271,808
122,570,9,295,874
123,615,9,271,895
124,644,9,273,926
125,665,9,278,952
126,686,10,320,1016
127,702,11,343,1056
128,768,11,317,1096
129,834,11,317,1162
130,854,12,365,1231
131,885,12,397,1294
132,909,13,457,1379
133,951,13,513,1477
134,989,15,557,1561
135,1033,15,595,1643
136,1081,17,589,1687
137,1157,17,640,1814
138,1211,20,682,1913
139,1258,22,732,2012
140,1357,22,723,2102
141,1434,23,747,2204
142,1510,23,769,2302
143,1570,25,799,2394
144,1698,26,775,2499
145,1787,26,764,2577
146,1850,27,755,2632
147,1986,29,648,2663
148,2086,30,643,2759
149,2173,31,663,2867
150,2250,31,677,2958
151,2351,31,699,3081
152,2444,32,774,3250
153,2514,34,762,3310
154,2545,36,869,3450
155,2573,37,954,3564
156,2708,37,963,3708
157,2860,41,990,3891
158,2989,41,953,3983
159,3141,42,870,4053
160,3204,44,904,4152
161,3338,45,867,4250
162,3486,45,831,4362
163,3636,46,797,4479
164,3778,48,799,4625
165,3881,51,842,4774
166,3981,55,864,4900
167,4066,55,930,5051
168,4196,62,940,5198
169,4326,63,914,5303
170,4442,64,934,5440
171,4583,67,892,5542
172,4680,67,919,5666
173,4817,69,884,5770
174,4979,70,818,5867
175,5079,71,836,5986
176,5184,72,831,6087
177,5328,72,789,6189
178,5413,75,812,6300
179,5534,77,808,6419
180,5639,77,812,6528
181,5726,78,831,6635
182,5843,79,807,6729
183,5949,80,817,6846
184,6066,81,812,6959
185,6171,82,833,7086
186,6185,89,936,7210
187,6291,92,943,7326
188,6291,92,943,7326
