,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,5727560.0,317.693,807.502,3005.57,40.0984,3854.64,0.0008912079172894716
1,5727370.0,314.61400000000003,839.801,3121.93,41.3528,4004.54,0.0009243512925655173
2,5727170.0,316.673,867.703,3242.51,42.6526,4154.32,0.0009592390560139163
3,5726970.0,321.594,893.505,3366.86,43.9931,4305.84,0.0009941268194623154
4,5726760.0,328.154,918.453,3494.78,45.3721,4460.12,0.0010307589710830678
5,5726550.0,335.699,943.225,3626.21,46.788999999999994,4617.77,0.0010673911227039312
6,5726330.0,343.876,968.193,3761.15,48.2436,4779.17,0.001105767662497148
7,5726110.0,352.499,993.564,3899.63,49.7365,4944.57,0.0011441442022903647
8,5725880.0,361.47,1019.46,4041.74,51.2685,5114.14,0.0011842651302560459
9,5725650.0,370.73900000000003,1045.95,4187.55,52.8403,5288.05,0.001224386058221727
10,5725410.0,380.282,1073.08,4337.14,54.4529,5466.43,0.0012662513743598725
11,5725160.0,390.088,1100.89,4490.6,56.1073,5649.41,0.0013098610786703713
12,5724910.0,400.156,1129.39,4648.05,57.8045,5837.1,0.00135347078298087
13,5724650.0,410.486,1158.63,4809.57,59.5457,6029.65,0.0013988248754637223
14,5724380.0,421.082,1188.6,4975.27,61.332,6227.16,0.0014459233561191498
15,5724100.0,431.95,1219.34,5145.25,63.1645,6429.77,0.0014947662249469307
16,5723820.0,443.095,1250.87,5319.63,65.0443,6637.61,0.0015436090937746005
17,5723540.0,454.524,1283.2,5498.52,66.9728,6850.81,0.0015924519626023814
18,5723240.0,466.244,1316.35,5682.03,68.9511,7069.51,0.00164478360777498
19,5722940.0,478.26099999999997,1350.35,5870.28,70.9804,7293.84,0.0016971152529475786
20,5722630.0,490.584,1385.21,6063.4,73.0622,7523.96,0.0017511912862926415
21,5722310.0,503.219,1420.97,6261.49,75.1978,7760.01,0.0018070117078100578
22,5721980.0,516.174,1457.63,6464.7,77.3884,8002.13,0.0018645765174999385
23,5721650.0,529.456,1495.22,6673.16,79.6355,8250.48,0.0019221413271898191
24,5721300.0,543.075,1533.77,6886.98,81.9406,8505.23,0.0019831949132245175
25,5720950.0,557.0369999999999,1573.29,7106.32,84.3051,8766.53,0.002044248499259216
26,5720590.0,571.352,1613.82,7331.31,86.7306,9034.54,0.0021070464734663785
27,5720220.0,586.028,1655.38,7562.1,89.2185,9309.44,0.0021715888358458946
28,5719840.0,601.073,1697.99,7798.82,91.7704,9591.39,0.002237875586397875
29,5719440.0,616.497,1741.67,8041.64,94.38799999999999,9880.59,0.002307651113294673
30,5719040.0,632.308,1786.46,8290.7,97.073,10177.2,0.002377426640191471
31,5718630.0,648.516,1832.38,8546.17,99.8269,10481.4,0.0024489465552607337
32,5718210.0,665.1310000000001,1879.46,8808.2,102.652,10793.4,0.0025222108585023495
33,5717780.0,682.1619999999999,1927.73,9076.97,105.54899999999999,11113.4,0.0025972195499164297
34,5717340.0,699.62,1977.2,9352.63,108.521,11441.6,0.002673972629502974
35,5716880.0,717.513,2027.93,9635.37,111.569,11778.2,0.0027542144854342254
36,5716420.0,735.8530000000001,2079.93,9925.36,114.695,12123.4,0.0028344563413655877
37,5715940.0,754.6510000000001,2133.23,10222.8,117.90100000000001,12477.5,0.0029181869736417676
38,5715450.0,773.916,2187.87,10527.8,121.189,12840.5,0.003003661994090412
39,5714950.0,793.6610000000001,2243.88,10840.7,124.56200000000001,13212.8,0.0030908814027114095
40,5714430.0,813.895,2301.29,11161.5,128.02100000000002,13594.7,0.003181589587677225
41,5713900.0,834.632,2360.13,11490.6,131.56799999999998,13986.2,0.0032740421608155046
42,5713360.0,855.8810000000001,2420.44,11828.1,135.20600000000002,14387.7,0.0033682391221261376
43,5712800.0,877.6569999999999,2482.25,12174.2,138.937,14799.5,0.0034659248597816994
44,5712230.0,899.9689999999999,2545.6,12529.1,142.764,15221.7,0.0035653549856096145
45,5711650.0,922.832,2610.52,12893.1,146.688,15654.7,0.003666529499609994
46,5711050.0,946.257,2677.06,13266.4,150.711,16098.6,0.003771192789955302
47,5710440.0,970.258,2745.25,13649.2,154.838,16553.8,0.0038776004684728527
48,5709810.0,994.847,2815.12,14041.7,159.069,17020.6,0.003987496923335332
49,5709160.0,1020.04,2886.72,14444.2,163.409,17499.1,0.004100882154542629
50,5708500.0,1045.85,2960.08,14856.9,167.858,17989.8,0.00421601177392239
51,5707820.0,1072.28,3035.25,15280.2,172.421,18492.9,0.004334630169646969
52,5707120.0,1099.36,3112.27,15714.2,177.09900000000002,19008.7,0.004456737341716366
53,5706410.0,1127.1,3191.18,16159.1,181.896,19537.5,0.004580588901958227
54,5705680.0,1155.51,3272.03,16615.4,186.815,20079.7,0.004707929238544906
55,5704930.0,1184.61,3354.85,17083.2,191.858,20635.5,0.004838758351476402
56,5704160.0,1214.41,3439.69,17562.9,197.028,21205.3,0.004973076240752827
57,5703370.0,1244.93,3526.61,18054.7,202.33,21789.5,0.005110882906373959
58,5702560.0,1276.19,3615.64,18558.9,207.765,22388.3,0.00525217834834002
59,5701730.0,1308.19,3706.83,19075.8,213.338,23002.1,0.005396962566650898
60,5700890.0,1340.96,3800.22,19605.7,219.051,23631.3,0.005543491173134241
61,5700020.0,1374.51,3895.88,20149.0,224.908,24276.3,0.005695252944134754
62,5699120.0,1408.87,3993.85,20706.0,230.912,24937.4,0.00585224787965255
63,5698210.0,1444.03,4094.17,21277.0,237.067,25615.0,0.00601098720334281
64,5697270.0,1480.03,4196.91,21862.3,243.377,26309.5,0.006174959691550352
65,5696310.0,1516.89,4302.11,22462.2,249.84400000000002,27021.4,0.006342420956102601
66,5695330.0,1554.61,4409.82,23077.3,256.474,27750.9,0.006513370996999779
67,5694320.0,1593.21,4520.11,23707.7,263.27,28498.6,0.0066895542024142385
68,5693290.0,1632.73,4633.01,24353.8,270.236,29264.8,0.006869226184173516
69,5692230.0,1673.16,4748.6,25016.1,277.375,30050.0,0.007054131330450075
70,5691140.0,1714.54,4866.93,25694.9,284.693,30854.6,0.007244269641243917
71,5690030.0,1756.87,4988.04,26390.6,292.193,31679.1,0.007437896728382576
72,5688890.0,1800.19,5112.01,27103.6,299.879,32524.0,0.007636756980038406
73,5687730.0,1844.51,5238.89,27834.3,307.756,33389.7,0.007839106008039165
74,5686530.0,1889.84,5368.74,28583.2,315.829,34276.7,0.00804843258872956
75,5685310.0,1936.21,5501.62,29350.6,324.101,35185.4,0.008261247945764882
76,5684050.0,1983.65,5637.59,30136.9,332.579,36116.5,0.008481040855489841
77,5682760.0,2032.15,5776.71,30942.7,341.265,37070.3,0.008706066929732081
78,5681450.0,2081.76,5919.05,31768.4,350.166,38047.4,0.008934581780319029
79,5680100.0,2132.49,6064.66,32614.3,359.286,39048.4,0.009170074183595833
80,5678720.0,2184.35,6213.62,33481.1,368.63,40073.7,0.009410799751389809
81,5677300.0,2237.38,6365.99,34369.2,378.20300000000003,41123.9,0.00965850287187342
82,5675850.0,2291.59,6521.82,35279.0,388.01099999999997,42199.7,0.009911439156874424
83,5674370.0,2347.0,6681.2,36211.0,398.059,43301.4,0.0101696086063926
84,5672850.0,2403.63,6844.18,37165.9,408.352,44429.8,0.01043475560860041
85,5671290.0,2461.5,7010.82,38144.0,418.89599999999996,45585.3,0.010706880163497967
86,5669700.0,2520.64,7181.21,39145.8,429.69599999999997,46768.7,0.010984237882912806
87,5668070.0,2581.07,7355.4,40172.0,440.759,47980.4,0.01126857315501728
88,5666390.0,2642.8,7533.46,41223.1,452.09,49221.2,0.011561630367983966
89,5664680.0,2705.86,7715.47,42299.6,463.694,50491.6,0.011859920745467822
90,5662930.0,2770.27,7901.48,43402.1,475.579,51792.3,0.012165188675641314
