,Recovered,Deceased,Infected,I_c
0,0,0,1.0,1
1,0,0,1.0,1
2,0,0,1.0,1
3,0,0,1.0,1
4,0,0,1.0,1
5,0,0,1.0,1
6,0,0,1.0,1
7,0,0,1.0,1
8,0,0,1.0,1
9,0,0,1.0,1
10,0,0,1.0,1
11,0,0,1.0,1
12,0,0,1.0,1
13,0,0,1.0,1
14,0,0,1.0,1
15,0,0,1.0,1
16,0,0,1.0,1
17,0,0,1.0,1
18,0,0,1.0,1
19,0,0,1.0,1
20,0,0,2.5714285714285716,12
21,0,0,4.142857142857143,12
22,0,0,5.7142857142857135,12
23,0,0,7.2857142857142865,12
24,0,0,8.857142857142858,12
25,0,0,10.428571428571429,12
26,0,0,12.0,12
27,4,1,13.857142857142858,30
28,5,1,16.0,33
29,10,1,18.142857142857142,38
30,10,1,21.857142857142854,49
31,10,1,25.857142857142854,51
32,11,1,30.285714285714285,55
33,11,1,35.0,57
34,11,1,38.0,58
35,15,1,40.857142857142854,63
36,20,1,44.28571428571429,72
37,23,2,45.85714285714285,74
38,27,2,47.28571428571429,79
39,30,2,48.42857142857143,83
40,31,3,49.0,83
41,31,3,50.0,87
42,34,4,51.714285714285715,97
43,35,5,53.28571428571429,102
44,37,5,55.714285714285715,108
45,46,5,57.28571428571429,112
46,46,5,58.85714285714285,113
47,47,5,61.57142857142857,120
48,49,5,64.0,124
49,49,5,66.14285714285714,128
50,51,5,68.85714285714286,137
51,56,5,73.0,156
52,58,5,79.14285714285714,167
53,68,6,85.42857142857143,180
54,77,6,90.14285714285714,184
55,80,6,95.0,190
56,82,6,99.85714285714286,196
57,84,6,104.28571428571428,202
58,84,7,107.14285714285714,206
59,92,7,109.71428571428572,221
60,101,7,112.42857142857143,233
61,106,8,117.57142857142857,251
62,109,8,126.28571428571428,282
63,114,8,135.57142857142858,295
64,117,9,146.85714285714286,317
65,118,9,159.57142857142858,331
66,131,11,172.85714285714286,357
67,134,12,188.85714285714286,383
68,144,13,205.57142857142856,411
69,146,14,220.57142857142856,430
70,152,15,235.28571428571428,443
71,174,16,248.57142857142856,474
72,183,16,262.0,497
73,194,17,276.2857142857143,526
74,221,19,287.85714285714283,558
75,244,21,301.42857142857144,614
76,258,21,313.14285714285717,631
77,293,21,326.42857142857144,683
78,331,21,337.14285714285717,711
79,361,22,351.1428571428572,779
80,390,24,361.8571428571428,804
81,402,25,377.71428571428567,856
82,424,25,395.4285714285714,922
83,446,25,414.28571428571433,955
84,470,26,438.0,1031
85,516,26,465.4285714285714,1093
86,537,27,490.28571428571433,1134
87,588,28,516.8571428571429,1192
88,662,30,535.8571428571429,1254
89,719,30,554.2857142857143,1351
90,780,31,579.1428571428571,1469
91,846,32,599.1428571428571,1553
92,911,35,617.1428571428571,1623
93,943,36,642.4285714285714,1726
94,999,38,671.1428571428571,1814
95,1034,38,711.7142857142858,1918
96,1083,39,760.7142857142858,2067
97,1135,43,816.7142857142858,2228
98,1216,44,872.1428571428571,2323
99,1327,46,931.5714285714287,2466
100,1399,46,995.5714285714287,2640
101,1460,46,1067.4285714285713,2786
102,1552,46,1139.142857142857,2946
103,1720,48,1192.7142857142858,3088
104,1824,51,1237.7142857142858,3240
105,1975,54,1282.2857142857142,3404
106,2083,56,1336.4285714285713,3611
107,2245,59,1379.7142857142858,3802
108,2457,61,1405.0,3975
109,2615,64,1418.0,4118
110,2791,69,1436.4285714285709,4309
111,2900,73,1451.2857142857142,4442
112,3059,75,1458.5714285714291,4560
113,3241,77,1451.142857142857,4738
114,3428,82,1428.0,4846
115,3595,84,1406.142857142857,4983
116,3759,87,1391.4285714285709,5182
117,3928,89,1373.142857142857,5338
118,4078,91,1351.2857142857142,5485
119,4217,94,1335.857142857143,5629
120,4387,100,1329.4285714285713,5862
121,4482,104,1339.5714285714287,5993
122,4605,108,1373.4285714285713,6254
123,4780,110,1406.2857142857142,6456
124,4915,112,1454.857142857143,6688
125,5050,114,1528.2857142857142,6994
126,5197,117,1607.857142857143,7189
127,5415,120,1679.142857142857,7409
128,5569,122,1760.0,7664
129,5734,124,1828.5714285714291,7879
130,5935,126,1900.857142857143,8133
131,6107,131,1961.428571428572,8323
132,6344,135,1993.5714285714291,8534
133,6605,137,2014.0,8760
134,6821,140,2031.5714285714291,8958
135,7108,144,2023.857142857143,9171
136,7324,152,2002.142857142857,9345
137,7581,160,1965.2857142857144,9555
138,7805,163,1924.0,9764
139,7993,166,1886.428571428572,9951
140,8216,172,1844.0,10109
141,8386,178,1801.0,10260
142,8599,184,1764.5714285714291,10447
143,8834,186,1720.857142857143,10583
144,9075,189,1677.4285714285709,10774
145,9318,195,1627.2857142857142,10958
146,9566,197,1570.857142857143,11160
147,9646,206,1538.4285714285709,11346
