,Susceptible,Asymptomatic,Infected,Recovered,Deceased,I_c,IA_cumulative
0,9470550.0,398.838,1630.34,9934.98,196.549,11763.5,0.0015908257112856594
1,9470350.0,390.152,1594.92,10131.9,200.761,11929.2,0.0016119102137547303
2,9470150.0,381.658,1560.25,10324.5,204.88099999999997,12091.3,0.0016329947162236902
3,9469950.0,373.35,1526.34,10513.0,208.912,12249.8,0.00165407921869265
4,9469760.0,365.223,1493.16,10697.3,212.855,12404.9,0.0016741094960381897
5,9469570.0,357.274,1460.69,10877.7,216.71200000000002,12556.6,0.0016941397733837293
6,9469380.0,349.49699999999996,1428.93,11054.1,220.486,12705.0,0.001714170050729269
7,9469210.0,341.889,1397.86,11226.7,224.17700000000002,12850.1,0.0017320918778279681
8,9469030.0,334.44699999999995,1367.45,11395.5,227.78799999999998,12992.1,0.0017510679300500875
9,9468860.0,327.166,1337.71,11560.7,231.321,13131.1,0.0017689897571486757
10,9468690.0,320.043,1308.61,11722.2,234.77700000000002,13267.0,0.0017869115842473748
11,9468520.0,313.075,1280.14,11880.3,238.157,13399.9,0.001804833411345963
12,9468360.0,306.258,1252.29,12034.9,241.46400000000003,13529.9,0.001821701013321242
13,9468210.0,299.589,1225.04,12186.1,244.699,13657.1,0.0018375143901729896
14,9468050.0,293.065,1198.39,12334.1,247.864,13781.6,0.0018543819921481575
15,9467900.0,286.683,1172.31,12478.8,250.96,13903.3,0.0018701953689999051
16,9467750.0,280.439,1146.79,12620.4,253.988,14022.4,0.0018860087458516528
17,9467610.0,274.33099999999996,1121.83,12758.9,256.95099999999996,14138.9,0.0019007678975798692
18,9467470.0,268.355,1097.41,12894.4,259.849,14252.8,0.0019155270493081966
19,9467330.0,262.51,1073.53,13027.0,262.684,14364.3,0.001930286201036524
20,9467190.0,256.791,1050.16,13156.6,265.457,14473.3,0.0019450453527648515
21,9467060.0,251.197,1027.29,13283.5,268.17,14580.0,0.0019587502793696476
22,9466930.0,245.72400000000002,1004.93,13407.5,270.824,14684.3,0.001972455205974555
23,9466810.0,240.37099999999998,983.045,13528.9,273.42,14786.4,0.0019851059074559307
24,9466680.0,235.13299999999998,961.638,13647.6,275.96,14886.2,0.001998810834060727
25,9466560.0,230.01,940.697,13763.8,278.444,14983.9,0.002011461535542103
26,9466440.0,224.998,920.21,13877.4,280.874,15079.4,0.0020241122370235898
27,9466330.0,220.09400000000002,900.169,13988.5,283.251,15172.9,0.0020357087133815455
28,9466220.0,215.298,880.562,14097.3,285.57599999999996,15264.3,0.00204730518973939
29,9466100.0,210.606,861.382,14203.6,287.851,15353.7,0.002059955891220877
30,9466000.0,206.016,842.6189999999999,14307.6,290.07599999999996,15441.2,0.0020704981424553015
31,9465890.0,201.525,824.263,14409.4,292.253,15526.8,0.002082094618813257
32,9465790.0,197.13299999999998,806.306,14509.0,294.382,15610.5,0.0020926368700477926
33,9465680.0,192.83599999999998,788.7389999999999,14606.4,296.465,15692.4,0.0021042333464057483
34,9465590.0,188.632,771.554,14701.6,298.503,15772.5,0.0021137213725167525
35,9465490.0,184.52,754.743,14794.8,300.496,15850.8,0.002124263623751288
36,9465390.0,180.498,738.297,14886.0,302.44599999999997,15927.5,0.0021348058749858234
37,9465300.0,176.563,722.209,14975.1,304.353,16002.4,0.0021442939010968276
38,9465210.0,172.713,706.471,15062.3,306.219,16075.8,0.002153781927207832
39,9465120.0,168.94799999999998,691.075,15147.7,308.04400000000004,16147.5,0.002163269953318947
40,9465030.0,165.264,676.0139999999999,15231.1,309.829,16217.7,0.002172757979429951
41,9464950.0,161.661,661.28,15312.8,311.575,16286.3,0.002181191780417535
42,9464870.0,158.136,646.867,15392.7,313.284,16353.5,0.002189625581405119
43,9464780.0,154.688,632.7669999999999,15470.8,314.955,16419.1,0.0021991136075162343
44,9464710.0,151.314,618.975,15547.2,316.589,16483.4,0.002206493183380398
45,9464630.0,148.015,605.482,15622.0,318.188,16546.2,0.002214926984367982
46,9464550.0,144.787,592.283,15695.1,319.752,16607.7,0.002223360785355566
47,9464480.0,141.629,579.371,15766.6,321.282,16667.9,0.0022307403612197296
48,9464400.0,138.541,566.74,15836.6,322.779,16726.7,0.0022391741622073136
49,9464330.0,135.519,554.384,15905.0,324.243,16784.2,0.0022465537380714773
50,9464260.0,132.563,542.297,15972.0,325.675,16840.5,0.002253933313935641
51,9464190.0,129.672,530.4730000000001,16037.5,327.07599999999996,16895.6,0.0022613128897996937
52,9464130.0,126.844,518.9069999999999,16101.6,328.44699999999995,16949.4,0.002267638240540437
53,9464060.0,124.07700000000001,507.592,16164.2,329.787,17002.1,0.002275017816404601
54,9464000.0,121.37100000000001,496.524,16225.5,331.098,17053.7,0.0022813431671452333
55,9463940.0,118.723,485.69699999999995,16285.5,332.381,17104.1,0.002287668517885977
56,9463880.0,116.133,475.105,16344.2,333.63599999999997,17153.4,0.0022939938686267203
57,9463820.0,113.6,464.744,16401.5,334.86300000000006,17201.6,0.0023003192193673527
58,9463760.0,111.12200000000001,454.60900000000004,16457.7,336.064,17248.8,0.002306644570108096
59,9463700.0,108.698,444.695,16512.6,337.23800000000006,17295.0,0.0023129699208487287
60,9463640.0,106.32700000000001,434.996,16566.3,338.38699999999994,17340.1,0.002319295271589472
61,9463590.0,104.007,425.509,16618.8,339.51,17384.3,0.0023245663972066843
62,9463540.0,101.738,416.228,16670.2,340.61,17427.5,0.0023298375228240076
63,9463480.0,99.5183,407.15,16720.5,341.685,17469.7,0.00233616287356464
64,9463430.0,97.3471,398.269,16769.7,342.73699999999997,17511.1,0.0023414339991819633
65,9463380.0,95.2232,389.582,16817.8,343.765,17551.5,0.0023467051247991755
66,9463330.0,93.1456,381.084,16864.8,344.772,17591.1,0.0023519762504163877
67,9463290.0,91.1133,372.77099999999996,16910.8,345.756,17629.7,0.0023561931509101797
68,9463240.0,89.1253,364.64,16955.9,346.719,17667.6,0.002361464276527503
69,9463190.0,87.1806,356.685,16999.9,347.661,17704.6,0.002366735402144715
70,9463150.0,85.2784,348.904,17043.0,348.583,17740.8,0.002370952302638507
